Weather,City,Subservice,Service,Price
Fine,Rishikesh,Fan Coil Repair,Kitchen cleaning,496.1
Extreme,Noida,Decorative Lights Installation (per 15m),Bathroom cleaning,285.58
Fine,Ahemdabad,Ceiling fan regulator replacement,Electrician,320.2
Extreme,Lucknow,AC switchbox installation,Kitchen cleaning,272.26
Fine,Ahemdabad,Inverter servicing,AC Repair Service,310.35
Extreme,Jaipur,Waste pipe leakage,Washing Machine Repair,309.68
Extreme,Delhi,Room heater repair,AC Repair Service,213.83
Fine,Noida,3 Phase changeover switch installation,Kitchen cleaning,194.97
Extreme,Noida,Fan replacement,Microwave Repair,388.07
Extreme,Delhi,Fan Coil Repair,Full home cleaning,291.21
Extreme,Delhi,PCB Repair,Hair colour,150.97
Extreme,Haridwar,TV installation (up to 48 inches),Refrigerator Repair,256.4
Fine,Haridwar,Bulb Holder Installation,Carpenter,376.03
Extreme,Lucknow,Single battery inverter installation,Shave/beard grooming,319.32
Fine,Rishikesh,Tap installation,Water Purifier Repair,282.72
Extreme,Noida,Fan Coil Repair,Plumber,277.77
Extreme,Haridwar,Fan replacement,Full home cleaning,466.11
Fine,Dehradun,Tap repair,Electrician,410.27
Extreme,Dehradun,Chandelier installation (upto 6 bulbs),Men/kids haircut,329.75
Extreme,Dehradun,Door bell installation,Carpenter,459.93
Extreme,Rishikesh,TV installation (up to 48 inches),Kitchen cleaning,440.66
Extreme,Noida,Replace CFL to LED,Full home cleaning,384.63
Extreme,Noida,Mini home theater installation,Microwave Repair,230.25
Extreme,Haridwar,Ceiling Fan Installation,AC Repair Service,285.31
Extreme,Jaipur,Room heater repair,Washing Machine Repair,137.85
Extreme,Noida,Tap installation,Electrician,211.33
Extreme,Delhi,Decorative light & bed lamp installation,Home painting,479.06
Extreme,Haridwar,3 Phase Changeover Switch Installation,Carpenter,394.89
Fine,Ahemdabad,Balcony drain blockage removal,Microwave Repair,387.88
Fine,Delhi,Ceiling fan regulator replacement,AC Repair Service,436.28
Fine,Noida,3 Phase changeover switch installation,Chimney Repair,274.84
Extreme,Dehradun,Drainage pipe blockage removal,Chimney Repair,270.21
Extreme,Ahemdabad,Switchboard installation,Laptop Repair,433.29
Extreme,Jaipur,Hot & cold water mixer repair,Kitchen cleaning,241.76
Extreme,Rishikesh,Bulbs installation (upto 5 bulbs),Refrigerator Repair,167.52
Fine,Rishikesh,Bulb,Plumber,433.87
Extreme,Lucknow,TV installation (up to 48 inches),Water Purifier Repair,481.66
Fine,Lucknow,Shower installation (wall mounted/ hand-held),Electrician,77.57
Extreme,Ahemdabad,Switchboard installation,Microwave Repair,201.83
Fine,Haridwar,Tap repair,Electrician,70.53
Extreme,Jaipur,Ceiling Fan Installation,AC Repair Service,363.23
Extreme,Jaipur,Bulbs installation (upto 5 bulbs),Men/kids haircut,293.02
Extreme,Ahemdabad,Door bell replacement,Washing Machine Repair,288.2
Fine,Haridwar,Inverter PCB Card Replacement,AC Repair Service,304.37
Fine,Dehradun,Lantern Installation,Microwave Repair,116.49
Extreme,Rishikesh,Bulbs installation (upto 5 bulbs),Laptop Repair,172.02
Fine,Dehradun,Bulb,Refrigerator Repair,131.17
Fine,Ahemdabad,Wash basin blockage removal,Refrigerator Repair,243.69
Extreme,Haridwar,Geyser Installation,Bathroom cleaning,76.42
Extreme,Rishikesh,Switchboard installation,Shave/beard grooming,303.32
Extreme,Dehradun,MCB fuse replacement,Face care,489.14
Fine,Delhi,Tubelight Installation/Repair,Plumber,498.92
Fine,Delhi,Waste pipe leakage,Full home cleaning,449.79
Fine,Lucknow,Geyser Uninstallation,Washing Machine Repair,112.23
Fine,Lucknow,Fan uninstallation,Laptop Repair,124.85
Fine,Delhi,Material Procurement Charges,Laptop Repair,274.55
Fine,Noida,New wiring with casing (per 5m),Massage,138.21
Extreme,Ahemdabad,Four Pole MCB Installation,Washing Machine Repair,161.76
Extreme,Delhi,Chandelier installation (more than 6 bulbs),Kitchen cleaning,296.11
Fine,Lucknow,Mini home theater installation,Pest control,251.54
Extreme,Jaipur,Four Pole MCB Installation,Chimney Repair,60.33
Extreme,Lucknow,Chandelier installation (upto 6 bulbs),Water Purifier Repair,304.74
Extreme,Delhi,New wiring with casing (per 5m),Refrigerator Repair,257.38
Extreme,Haridwar,Ceiling fan regulator replacement,Carpenter,88.87
Fine,Dehradun,3 Phase changeover switch installation,AC Repair Service,485.38
Fine,Rishikesh,Minor fittings installation,Refrigerator Repair,342.07
Fine,Noida,Drainage pipe blockage removal,Kitchen cleaning,459.69
Extreme,Haridwar,PCB Repair,Home painting,219.6
Extreme,Dehradun,Decorative Lights Installation (per 15m),Microwave Repair,373.87
Fine,Ahemdabad,Decorative Lights Installation (per 15m),Plumber,161.64
Fine,Jaipur,Lantern Installation,Water Purifier Repair,72.62
Fine,Haridwar,Door bell replacement,Hair colour,419.07
Fine,Dehradun,Shower installation (ceiling mounted),Washing Machine Repair,462.05
Fine,Delhi,Chandelier installation (more than 6 bulbs),Face care,181.99
Extreme,Ahemdabad,Drainage pipe blockage removal,Face care,76.66
Extreme,Delhi,Wash basin installation,Refrigerator Repair,489.76
Extreme,Delhi,Cavity sensor,Full home cleaning,374.48
Fine,Noida,Shower installation (ceiling mounted),Full home cleaning,291.48
Fine,Jaipur,Decorative ceiling fan installation,Refrigerator Repair,62.35
Extreme,Jaipur,Lantern Installation,Refrigerator Repair,121.5
Extreme,Dehradun,Decorative Lights Installation (per 15m),AC Repair Service,328.37
Extreme,Dehradun,Fan replacement,Chimney Repair,457.53
Extreme,Noida,Inverter servicing,Hair colour,492.98
Fine,Noida,Fan uninstallation,Home painting,218.14
Fine,Delhi,Cavity sensor,Full home cleaning,447.52
Extreme,Rishikesh,Fan uninstallation,Washing Machine Repair,455.16
Fine,Jaipur,3 Phase Changeover Switch Installation,Home painting,394.91
Extreme,Jaipur,TV installation (above 48 inches),Bathroom cleaning,126.35
Fine,Dehradun,Single pole MCB installation,Men/kids haircut,380.44
Extreme,Dehradun,Wash Basin Leakage Repair,Chimney Repair,101.77
Extreme,Dehradun,TV installation (up to 48 inches),Washing Machine Repair,390.79
Extreme,Noida,Geyser Installation,Men/kids haircut,154.15
Extreme,Lucknow,Tap repair,Electrician,130.65
Fine,Jaipur,Decorative Lights Uninstallation (per 5m),Face care,187.3
Extreme,Noida,MCB fuse replacement,Laptop Repair,472.92
Extreme,Noida,Tap replacement,Plumber,340.61
Extreme,Haridwar,Wash Basin Leakage Repair,Shave/beard grooming,307.33
Fine,Lucknow,Minor fittings installation,Carpenter,376.41
Fine,Noida,Lights Uninstallation (per 20 m),Massage,301.64
Fine,Jaipur,Tap installation,Face care,375.92
Fine,Delhi,Fan uninstallation,Full home cleaning,479.58
Extreme,Delhi,Waste pipe leakage,Plumber,154.86
Fine,Jaipur,Decorative Lights Installation (per 5m),Water Purifier Repair,378.85
Extreme,Haridwar,Fuse 5 / 15 Amp,Bathroom cleaning,353.28
Extreme,Lucknow,Triple Pole MCB Installation,Washing Machine Repair,256.53
Extreme,Noida,Inverter servicing,Shave/beard grooming,144.7
Fine,Jaipur,Chandelier installation (more than 6 bulbs),Hair colour,180.34
Fine,Delhi,Cavity sensor,Hair colour,235.11
Fine,Lucknow,Chandelier installation (upto 6 bulbs),Laptop Repair,119.73
Fine,Dehradun,Double battery inverter installation,Washing Machine Repair,434.41
Fine,Dehradun,Bulb,Massage,293.95
Extreme,Jaipur,New wiring with casing (per 5m),Home painting,292.51
Extreme,Delhi,Switch Membrane / Key Pad Repair,Chimney Repair,384.43
Fine,Haridwar,PCB Repair,Microwave Repair,410.39
Fine,Dehradun,Decorative Lights Uninstallation (per 5m),Refrigerator Repair,386.93
Fine,Noida,Tubelight Installation/Repair,AC Repair Service,61.35
Extreme,Lucknow,Mini home theater installation,Pest control,452.43
Fine,Noida,3 Phase changeover switch installation,Massage,113.95
Fine,Haridwar,Replace CFL to LED,Bathroom cleaning,397.07
Extreme,Lucknow,Fan repair,Microwave Repair,377.18
Extreme,Lucknow,Shower installation (ceiling mounted),Electrician,390.62
Extreme,Rishikesh,Chandelier installation (upto 6 bulbs),Pest control,74.99
Fine,Rishikesh,Mini home theater installation,Bathroom cleaning,496.84
Extreme,Lucknow,Sub meter installation,Men/kids haircut,401.93
Fine,Lucknow,Four Pole MCB Installation,AC Repair Service,325.58
Fine,Rishikesh,Door bell installation,Full home cleaning,230.55
Extreme,Ahemdabad,Replace CFL to LED,Refrigerator Repair,290.17
Extreme,Jaipur,Four Pole MCB Installation,Face care,284
Fine,Lucknow,Drainage pipe blockage removal,Men/kids haircut,238.44
Fine,Dehradun,Inverter PCB Card Replacement,Pest control,274.78
Fine,Noida,Hot & cold water mixer repair,Washing Machine Repair,272.79
Fine,Noida,Hot & cold water mixer installation,Refrigerator Repair,256.94
Extreme,Jaipur,New wiring with casing (per 5m),Chimney Repair,127.09
Fine,Rishikesh,Single pole MCB installation,Bathroom cleaning,67.42
Fine,Delhi,Single battery inverter installation,Microwave Repair,466.46
Extreme,Noida,Wash Basin Leakage Repair,Home painting,301.41
Fine,Haridwar,Door bell replacement,Kitchen cleaning,458.75
Fine,Lucknow,Chandelier installation (more than 6 bulbs),Plumber,156.44
Fine,Delhi,Decorative ceiling fan installation,Face care,391.23
Fine,Ahemdabad,Bulb,Carpenter,245.18
Fine,Ahemdabad,Tap installation,Full home cleaning,77.5
Fine,Haridwar,Triple Pole MCB Installation,Laptop Repair,271.57
Extreme,Noida,Mini home theater installation,Full home cleaning,72.31
Fine,Lucknow,Tap installation,Chimney Repair,258.46
Extreme,Haridwar,Switch/socket replacement,Men/kids haircut,70.88
Fine,Ahemdabad,Hot & cold water mixer installation,Men/kids haircut,417.87
Extreme,Noida,Lantern Installation,Kitchen cleaning,103.3
Fine,Rishikesh,Door bell replacement,Massage,349.86
Extreme,Dehradun,Decorative Lights Installation (per 10m),Men/kids haircut,374.51
Extreme,Haridwar,Tap replacement,Electrician,95.83
Extreme,Dehradun,Hot & cold water mixer repair,Kitchen cleaning,256.04
Extreme,Haridwar,TV installation (above 48 inches),Shave/beard grooming,459.45
Extreme,Haridwar,Hot & cold water mixer installation,Water Purifier Repair,156.99
Fine,Dehradun,Cavity sensor,Plumber,161.17
Extreme,Haridwar,Minor fittings installation,Hair colour,182.79
Fine,Ahemdabad,Balcony drain blockage removal,Laptop Repair,365.04
Extreme,Ahemdabad,Bulb holder installation,Plumber,468.26
Extreme,Ahemdabad,Double battery inverter installation,Kitchen cleaning,205.87
Extreme,Dehradun,Bulbs installation (upto 5 bulbs),AC Repair Service,63.28
Fine,Delhi,Single pole MCB installation,Massage,210.64
Fine,Rishikesh,Switch/socket replacement,Face care,412.21
Fine,Ahemdabad,Tubelight Installation/Repair,Carpenter,196.3
Extreme,Jaipur,Tap repair,Home painting,147.79
Fine,Delhi,AC switchbox installation,Men/kids haircut,483.09
Extreme,Noida,Decorative ceiling fan installation,Massage,441.33
Extreme,Rishikesh,Decorative Lights Uninstallation (per 5m),AC Repair Service,180.44
Extreme,Rishikesh,Fan replacement,Electrician,118.38
Extreme,Delhi,Fan Coil Repair,Kitchen cleaning,489
Extreme,Jaipur,Inverter fuse replacement,Water Purifier Repair,188.73
Fine,Haridwar,New wiring with casing (per 5m),Laptop Repair,355.49
Fine,Jaipur,Double Pole MCB Installation,Kitchen cleaning,227.05
Fine,Rishikesh,Triple Pole MCB Installation,AC Repair Service,156.06
Fine,Noida,Tap repair,Washing Machine Repair,194.16
Extreme,Haridwar,Hot & cold water mixer installation,Water Purifier Repair,158.33
Fine,Lucknow,Shower installation (wall mounted/ hand-held),Refrigerator Repair,142.65
Extreme,Noida,Timer,AC Repair Service,197.66
Fine,Noida,Switchboard repair,Pest control,458.21
Fine,Rishikesh,Switch Membrane / Key Pad Repair,Home painting,172.29
Extreme,Haridwar,Sub meter installation,Bathroom cleaning,166.82
Extreme,Lucknow,TV installation (up to 48 inches),Bathroom cleaning,136.97
Extreme,Ahemdabad,Shower installation (wall mounted/ hand-held),Microwave Repair,95.24
Fine,Ahemdabad,Stabilizer installation,Face care,81.86
Extreme,Ahemdabad,Chandelier installation (more than 6 bulbs),Face care,123.98
Fine,Ahemdabad,Ceiling Fan Installation,Carpenter,304.58
Fine,Rishikesh,Bulb holder installation,Full home cleaning,234.83
Fine,Delhi,New internal wiring (per 5m),Face care,441.65
Fine,Haridwar,Lights Uninstallation (per 20 m),Chimney Repair,417.94
Extreme,Noida,3 Phase changeover switch installation,Kitchen cleaning,389.6
Fine,Rishikesh,Chandelier installation (upto 6 bulbs),Electrician,419.35
Extreme,Jaipur,Tap installation,Bathroom cleaning,377.66
Extreme,Haridwar,Inverter fuse replacement,Full home cleaning,146.68
Extreme,Rishikesh,Bulb,Pest control,62.4
Fine,Rishikesh,Fan uninstallation,Carpenter,119.12
Extreme,Ahemdabad,Bulb,Full home cleaning,297.12
Fine,Delhi,Four Pole MCB Installation,Face care,315.58
Extreme,Lucknow,Tap repair,Water Purifier Repair,406.66
Fine,Rishikesh,New internal wiring (per 5m),AC Repair Service,384.89
Fine,Dehradun,Four Pole MCB Installation,Massage,467.47
Extreme,Dehradun,Decorative light & bed lamp installation,Home painting,294.43
Extreme,Dehradun,Tap installation,Laptop Repair,464.5
Extreme,Noida,Decorative light & bed lamp installation,Washing Machine Repair,111.19
Extreme,Rishikesh,Inverter servicing,Hair colour,306.54
Extreme,Dehradun,Wash basin installation,Men/kids haircut,358.11
Fine,Noida,Switch/socket replacement,Microwave Repair,317.37
Fine,Lucknow,Hot & cold water mixer repair,Full home cleaning,223.65
Extreme,Lucknow,Inverter fuse replacement,Electrician,278.03
Extreme,Jaipur,Tap replacement,Men/kids haircut,299.58
Fine,Ahemdabad,Decorative Lights Installation (per 15m),Pest control,90.99
Fine,Ahemdabad,TV installation (above 48 inches),Bathroom cleaning,340.1
Fine,Ahemdabad,New internal wiring (per 5m),Hair colour,461.72
Fine,Jaipur,Inverter PCB Card Replacement,Home painting,261.93
Fine,Lucknow,Bulbs installation (upto 5 bulbs),Bathroom cleaning,395.7
Extreme,Haridwar,Timer,Chimney Repair,218.19
Fine,Lucknow,Room heater repair,Massage,77.21
Fine,Delhi,Decorative ceiling fan installation,Massage,274.05
Fine,Delhi,Timer,Refrigerator Repair,104.76
Extreme,Ahemdabad,Double Pole MCB Installation,Pest control,409.78
Extreme,Rishikesh,Wash basin blockage removal,Home painting,145.92
Extreme,Delhi,Thermal Cut Off (TCO),Hair colour,411.42
Fine,Noida,Inverter fuse replacement,Plumber,368.14
Fine,Ahemdabad,Fuse 5 / 15 Amp,Carpenter,214.18
Extreme,Rishikesh,Waste pipe leakage,Refrigerator Repair,372.59
Extreme,Lucknow,3 Phase changeover switch installation,Face care,483.23
Fine,Jaipur,Double Pole MCB Installation,Hair colour,199.8
Extreme,Lucknow,Replace CFL to LED,Hair colour,79.32
Extreme,Ahemdabad,3 Phase changeover switch installation,Laptop Repair,436.44
Extreme,Delhi,Inverter servicing,Carpenter,119.85
Extreme,Lucknow,Door bell replacement,Water Purifier Repair,307.04
Extreme,Haridwar,Double Pole MCB Installation,Full home cleaning,77.52
Fine,Delhi,TV uninstallation,Massage,366.6
Extreme,Lucknow,Chandelier installation (more than 6 bulbs),Massage,354.67
Fine,Jaipur,Wash Basin Leakage Repair,Washing Machine Repair,124.9
Extreme,Rishikesh,Double battery inverter installation,Men/kids haircut,307.85
Fine,Noida,Decorative Lights Installation (per 5m),Men/kids haircut,97.58
Extreme,Rishikesh,Room heater repair,Men/kids haircut,454.96
Extreme,Ahemdabad,Chandelier installation (upto 6 bulbs),Electrician,272.87
Extreme,Rishikesh,Switchboard repair,Microwave Repair,153.92
Fine,Noida,Inverter fuse replacement,Carpenter,67.68
Fine,Haridwar,Decorative Lights Installation (per 15m),Chimney Repair,263.56
Fine,Haridwar,Shower installation (wall mounted/ hand-held),Electrician,216.41
Fine,Rishikesh,Chandelier installation (upto 6 bulbs),Home painting,209.62
Extreme,Lucknow,Switchboard installation,Electrician,142.11
Extreme,Lucknow,Mini home theater installation,Washing Machine Repair,419.86
Fine,Ahemdabad,Geyser Installation,Bathroom cleaning,324.55
Fine,Delhi,Balcony drain blockage removal,Laptop Repair,124.42
Fine,Rishikesh,Replace CFL to LED,Refrigerator Repair,146.99
Fine,Haridwar,Wash basin blockage removal,Home painting,443.87
Extreme,Delhi,Switchboard repair,Carpenter,393.19
Fine,Ahemdabad,Double battery inverter installation,Bathroom cleaning,388.62
Fine,Lucknow,Wash Basin Leakage Repair,Full home cleaning,268.87
Fine,Delhi,Triple Pole MCB Installation,Home painting,273.37
Extreme,Ahemdabad,Tap repair,Water Purifier Repair,413.45
Extreme,Delhi,Minor fittings installation,Water Purifier Repair,164.26
Fine,Dehradun,Decorative Lights Installation (per 10m),Washing Machine Repair,216
Fine,Noida,Wash basin installation,Men/kids haircut,110.22
Fine,Ahemdabad,Fan Coil Repair,Refrigerator Repair,292.3
Fine,Lucknow,Lantern Installation,Laptop Repair,180.82
Extreme,Ahemdabad,Sub meter installation,Pest control,141.03
Extreme,Haridwar,Single battery inverter installation,Pest control,73.08
Fine,Lucknow,Chandelier installation (upto 6 bulbs),Kitchen cleaning,252.54
Extreme,Lucknow,Wash basin blockage removal,Home painting,413.98
Fine,Dehradun,Shower installation (wall mounted/ hand-held),Electrician,446.85
Fine,Haridwar,Double battery inverter installation,Face care,387.64
Extreme,Rishikesh,Room heater repair,Massage,358.07
Extreme,Rishikesh,Room heater repair,Kitchen cleaning,476.54
Fine,Lucknow,Shower installation (wall mounted/ hand-held),Men/kids haircut,351.77
Extreme,Dehradun,Decorative light & bed lamp installation,Water Purifier Repair,83.8
Extreme,Delhi,Switch Membrane / Key Pad Repair,AC Repair Service,92.72
Fine,Delhi,Room heater repair,Electrician,149.44
Extreme,Rishikesh,Switch Membrane / Key Pad Repair,AC Repair Service,482.09
Extreme,Jaipur,Stabilizer installation,Hair colour,192.88
Extreme,Rishikesh,Chandelier installation (more than 6 bulbs),Microwave Repair,251.22
Extreme,Dehradun,Inverter PCB Card Replacement,Water Purifier Repair,492.11
Extreme,Ahemdabad,Waste pipe leakage,Refrigerator Repair,207.37
Extreme,Dehradun,Lantern Installation,Plumber,253.98
Extreme,Lucknow,Inverter servicing,Laptop Repair,350.68
Extreme,Noida,Fan repair,Carpenter,247.7
Fine,Delhi,Timer,Microwave Repair,272.08
Extreme,Noida,MCB fuse replacement,Hair colour,312.25
Extreme,Lucknow,Fan repair,Electrician,271.47
Fine,Lucknow,New wiring with casing (per 5m),Electrician,193.73
Fine,Haridwar,TV installation (above 48 inches),Water Purifier Repair,276.68
Fine,Lucknow,Single battery inverter installation,Refrigerator Repair,131.76
Fine,Delhi,Fan repair,Kitchen cleaning,405.78
Fine,Haridwar,New internal wiring (per 5m),Carpenter,159.42
Extreme,Rishikesh,Timer,Carpenter,346.73
Extreme,Noida,Tap repair,Home painting,178.24
Fine,Dehradun,Tubelight Installation/Repair,Plumber,302.48
Extreme,Ahemdabad,Switch/socket replacement,Laptop Repair,320.47
Fine,Delhi,Tap repair,Men/kids haircut,175.14
Extreme,Ahemdabad,Switchboard repair,Electrician,110.54
Fine,Rishikesh,3 Phase Changeover Switch Installation,Face care,60.82
Fine,Rishikesh,Wash basin blockage removal,Washing Machine Repair,456.74
Extreme,Dehradun,Tap installation,Face care,451.53
Extreme,Ahemdabad,PCB Repair,Kitchen cleaning,73.61
Fine,Dehradun,Hot & cold water mixer repair,Hair colour,56.54
Extreme,Dehradun,Geyser Uninstallation,AC Repair Service,358.34
Extreme,Ahemdabad,Switchboard repair,Plumber,340.83
Extreme,Noida,Fuse 5 / 15 Amp,Massage,451.39
Fine,Rishikesh,Wash Basin Leakage Repair,Massage,499.73
Fine,Delhi,Minor fittings installation,Home painting,398.18
Extreme,Rishikesh,New wiring with casing (per 5m),Electrician,392.42
Extreme,Dehradun,Bulb holder installation,Kitchen cleaning,277.9
Extreme,Ahemdabad,Wash basin installation,Washing Machine Repair,79.25
Extreme,Noida,TV installation (above 48 inches),Pest control,253.35
Extreme,Dehradun,Lantern Installation,Electrician,362.51
Extreme,Dehradun,Lantern Installation,Full home cleaning,437.46
Fine,Delhi,Hot & cold water mixer installation,Plumber,108.9
Extreme,Dehradun,3 Phase changeover switch installation,Refrigerator Repair,391.63
Extreme,Lucknow,Fan repair,Bathroom cleaning,456.78
Fine,Jaipur,MCB fuse replacement,Carpenter,205.98
Extreme,Delhi,Inverter PCB Card Replacement,Men/kids haircut,191.94
Fine,Haridwar,Geyser Uninstallation,Full home cleaning,68.46
Fine,Ahemdabad,Decorative Lights Installation (per 10m),Men/kids haircut,496.71
Extreme,Noida,Fan uninstallation,Water Purifier Repair,281.32
Fine,Dehradun,Fuse 5 / 15 Amp,Home painting,155.55
Extreme,Jaipur,Lantern Installation,Chimney Repair,270.89
Extreme,Ahemdabad,Tubelight Installation/Repair,Water Purifier Repair,404.44
Fine,Delhi,Balcony drain blockage removal,Kitchen cleaning,120.48
Fine,Dehradun,New wiring with casing (per 5m),Chimney Repair,233.2
Extreme,Dehradun,Double Pole MCB Installation,AC Repair Service,307.97
Extreme,Ahemdabad,3 Phase Changeover Switch Installation,Pest control,226.33
Fine,Noida,Lights Uninstallation (per 20 m),Carpenter,477.67
Extreme,Rishikesh,Thermal Cut Off (TCO),Refrigerator Repair,489.55
Fine,Delhi,Minor fittings installation,Face care,149.14
Fine,Jaipur,New wiring with casing (per 5m),Plumber,116.81
Extreme,Delhi,Single battery inverter installation,Kitchen cleaning,338.82
Extreme,Delhi,Decorative Lights Uninstallation (per 5m),Men/kids haircut,267.47
Fine,Ahemdabad,Cavity sensor,Carpenter,294.29
Fine,Haridwar,Balcony drain blockage removal,Face care,51.03
Fine,Jaipur,Thermal Cut Off (TCO),Chimney Repair,98.41
Extreme,Noida,Tubelight Installation/Repair,Massage,345.31
Fine,Haridwar,Shower installation (wall mounted/ hand-held),Pest control,70.37
Extreme,Rishikesh,AC switchbox installation,Carpenter,350.27
Extreme,Rishikesh,TV installation (up to 48 inches),Microwave Repair,319.33
Extreme,Haridwar,Bulb holder installation,Microwave Repair,394.35
Extreme,Lucknow,Geyser Uninstallation,Water Purifier Repair,390.89
Fine,Dehradun,Material Procurement Charges,Microwave Repair,335.2
Fine,Haridwar,Tap replacement,Bathroom cleaning,369.6
Extreme,Lucknow,Inverter fuse replacement,Laptop Repair,91.18
Extreme,Noida,Chandelier installation (more than 6 bulbs),Plumber,400.59
Extreme,Lucknow,Double battery inverter installation,Face care,137.45
Fine,Lucknow,Balcony drain blockage removal,Hair colour,438.91
Extreme,Jaipur,Wash basin installation,Home painting,317.71
Extreme,Jaipur,Switch Membrane / Key Pad Repair,Refrigerator Repair,58.34
Fine,Haridwar,Bulb holder installation,Water Purifier Repair,475.41
Extreme,Haridwar,Tap repair,Carpenter,320.93
Fine,Rishikesh,Double Pole MCB Installation,AC Repair Service,153.98
Extreme,Lucknow,Switchboard repair,Home painting,89.92
Extreme,Delhi,New internal wiring (per 5m),Plumber,292.49
Extreme,Lucknow,Fan replacement,Home painting,258.48
Extreme,Dehradun,Fan uninstallation,AC Repair Service,452.09
Extreme,Ahemdabad,Single pole MCB installation,Washing Machine Repair,490.34
Fine,Rishikesh,Shower installation (ceiling mounted),Microwave Repair,346.71
Extreme,Haridwar,Tap installation,Carpenter,109.49
Fine,Ahemdabad,Triple Pole MCB Installation,Full home cleaning,242.2
Fine,Jaipur,Ceiling Fan Installation,Hair colour,408.56
Extreme,Lucknow,Bulb holder installation,Plumber,84.48
Extreme,Ahemdabad,Fan uninstallation,Bathroom cleaning,167.96
Fine,Lucknow,Decorative Lights Installation (per 10m),Massage,106.2
Extreme,Rishikesh,Decorative Lights Installation (per 5m),Laptop Repair,87.18
Fine,Dehradun,Inverter fuse replacement,Water Purifier Repair,249.77
Fine,Noida,Single pole MCB installation,Refrigerator Repair,258.08
Extreme,Delhi,Single pole MCB installation,Carpenter,225.91
Extreme,Rishikesh,Wash basin blockage removal,Men/kids haircut,485.22
Extreme,Lucknow,Room heater repair,Plumber,108.12
Fine,Haridwar,Geyser Uninstallation,Bathroom cleaning,269.03
Extreme,Delhi,Inverter servicing,Plumber,148.46
Fine,Lucknow,Material Procurement Charges,Electrician,260.66
Extreme,Jaipur,Decorative Lights Uninstallation (per 5m),Bathroom cleaning,160.76
Extreme,Delhi,New wiring without casing (per 5m),AC Repair Service,177.74
Fine,Ahemdabad,Ceiling Fan Installation,Chimney Repair,238.6
Fine,Jaipur,Ceiling Fan Installation,Face care,235.69
Extreme,Noida,Wash basin blockage removal,Face care,151.75
Extreme,Delhi,Single pole MCB installation,Plumber,124.87
Extreme,Noida,Inverter fuse replacement,Laptop Repair,499.85
Extreme,Dehradun,Single battery inverter installation,Massage,451.07
Fine,Lucknow,Fan uninstallation,Bathroom cleaning,242.52
Extreme,Dehradun,Double battery inverter installation,Kitchen cleaning,234.2
Extreme,Ahemdabad,Geyser Installation,Hair colour,63.74
Extreme,Lucknow,Triple Pole MCB Installation,Hair colour,138
Extreme,Delhi,Single battery inverter installation,Hair colour,116.89
Extreme,Lucknow,Stabilizer installation,Shave/beard grooming,399.05
Fine,Dehradun,Single battery inverter installation,Washing Machine Repair,455.89
Extreme,Dehradun,Cavity sensor,Full home cleaning,385.02
Fine,Delhi,Minor fittings installation,Electrician,166.72
Extreme,Haridwar,TV uninstallation,Carpenter,112.89
Fine,Delhi,Wash basin blockage removal,Pest control,71.92
Fine,Noida,Bulb holder installation,Kitchen cleaning,311.82
Fine,Lucknow,Switch Membrane / Key Pad Repair,Home painting,151.48
Fine,Ahemdabad,New internal wiring (per 5m),Electrician,110.62
Extreme,Rishikesh,TV installation (above 48 inches),Face care,465.84
Extreme,Jaipur,Switchboard repair,Kitchen cleaning,239.11
Fine,Delhi,Switchboard repair,Washing Machine Repair,107.04
Fine,Noida,Inverter PCB Card Replacement,Face care,468.46
Fine,Rishikesh,Stabilizer installation,Carpenter,453.87
Extreme,Ahemdabad,Four Pole MCB Installation,Shave/beard grooming,428.87
Fine,Lucknow,Decorative light & bed lamp installation,Kitchen cleaning,312.57
Extreme,Rishikesh,Minor fittings installation,Men/kids haircut,443.18
Extreme,Dehradun,Bulb Holder Installation,Refrigerator Repair,444.95
Extreme,Ahemdabad,Bulbs installation (upto 5 bulbs),Home painting,128.12
Extreme,Haridwar,Tap repair,Carpenter,467.46
Fine,Lucknow,New wiring without casing (per 5m),Men/kids haircut,81.82
Fine,Jaipur,3 Phase Changeover Switch Installation,Electrician,78.49
Fine,Lucknow,Bulb holder installation,Water Purifier Repair,66.41
Extreme,Lucknow,Switchboard repair,Hair colour,324.15
Extreme,Dehradun,Double battery inverter installation,Refrigerator Repair,366.27
Extreme,Dehradun,Drainage pipe blockage removal,Refrigerator Repair,306.45
Fine,Dehradun,Hot & cold water mixer installation,Plumber,135.7
Fine,Jaipur,Fuse 5 / 15 Amp,Pest control,489.37
Fine,Haridwar,Double battery inverter installation,Microwave Repair,271.74
Extreme,Delhi,Fan repair,Water Purifier Repair,334.75
Fine,Dehradun,Double Pole MCB Installation,Kitchen cleaning,82.23
Extreme,Jaipur,Double Pole MCB Installation,Microwave Repair,410.89
Extreme,Noida,Material Procurement Charges,Laptop Repair,491.92
Fine,Lucknow,Material Procurement Charges,Chimney Repair,213.99
Fine,Haridwar,Wash Basin Leakage Repair,Laptop Repair,142.58
Fine,Haridwar,Hot & cold water mixer installation,Men/kids haircut,189.22
Fine,Noida,Four Pole MCB Installation,Washing Machine Repair,306.16
Extreme,Jaipur,Room heater repair,Microwave Repair,451.03
Fine,Rishikesh,Decorative light & bed lamp installation,AC Repair Service,296.61
Extreme,Dehradun,Wash basin installation,Face care,294.51
