"﻿Weather,Subservice,City,Service,Price"
"Fine,Fan Coil Repair,Rishikesh,Kitchen cleaning,496.1"
"Extreme,Decorative Lights Installation (per 15m),Noida,Bathroom cleaning,285.58"
"Fine,Ceiling fan regulator replacement,Ahemdabad,Electrician,320.2"
"Extreme,AC switchbox installation,Lucknow,Kitchen cleaning,272.26"
"Fine,Inverter servicing,Ahemdabad,AC Repair Service,310.35"
"Extreme,Waste pipe leakage,Jaipur,Washing Machine Repair,309.68"
"Extreme,Room heater repair,Delhi,AC Repair Service,213.83"
"Fine,3 Phase changeover switch installation,Noida,Kitchen cleaning,194.97"
"Extreme,Fan replacement,Noida,Microwave Repair,388.07"
"Extreme,Fan Coil Repair,Delhi,Full home cleaning,291.21"
"Extreme,PCB Repair,Delhi,Hair colour,150.97"
"Extreme,TV installation (up to 48 inches),Haridwar,Refrigerator Repair,256.4"
"Fine,Bulb Holder Installation,Haridwar,Carpenter,376.03"
"Extreme,Single battery inverter installation,Lucknow,Shave/beard grooming,319.32"
"Fine,Tap installation,Rishikesh,Water Purifier Repair,282.72"
"Extreme,Fan Coil Repair,Noida,Plumber,277.77"
"Extreme,Fan replacement,Haridwar,Full home cleaning,466.11"
"Fine,Tap repair,Dehradun,Electrician,410.27"
"Extreme,Chandelier installation (upto 6 bulbs),Dehradun,Men/kids haircut,329.75"
"Extreme,Door bell installation,Dehradun,Carpenter,459.93"
"Extreme,TV installation (up to 48 inches),Rishikesh,Kitchen cleaning,440.66"
"Extreme,Replace CFL to LED,Noida,Full home cleaning,384.63"
"Extreme,Mini home theater installation,Noida,Microwave Repair,230.25"
"Extreme,Ceiling Fan Installation,Haridwar,AC Repair Service,285.31"
"Extreme,Room heater repair,Jaipur,Washing Machine Repair,137.85"
"Extreme,Tap installation,Noida,Electrician,211.33"
"Extreme,Decorative light & bed lamp installation,Delhi,Home painting,479.06"
"Extreme,3 Phase Changeover Switch Installation,Haridwar,Carpenter,394.89"
"Fine,Balcony drain blockage removal,Ahemdabad,Microwave Repair,387.88"
"Fine,Ceiling fan regulator replacement,Delhi,AC Repair Service,436.28"
"Fine,3 Phase changeover switch installation,Noida,Chimney Repair,274.84"
"Extreme,Drainage pipe blockage removal,Dehradun,Chimney Repair,270.21"
"Extreme,Switchboard installation,Ahemdabad,Laptop Repair,433.29"
"Extreme,Hot & cold water mixer repair,Jaipur,Kitchen cleaning,241.76"
"Extreme,Bulbs installation (upto 5 bulbs),Rishikesh,Refrigerator Repair,167.52"
"Fine,Bulb,Rishikesh,Plumber,433.87"
"Extreme,TV installation (up to 48 inches),Lucknow,Water Purifier Repair,481.66"
"Fine,Shower installation (wall mounted/ hand-held),Lucknow,Electrician,77.57"
"Extreme,Switchboard installation,Ahemdabad,Microwave Repair,201.83"
"Fine,Tap repair,Haridwar,Electrician,70.53"
"Extreme,Ceiling Fan Installation,Jaipur,AC Repair Service,363.23"
"Extreme,Bulbs installation (upto 5 bulbs),Jaipur,Men/kids haircut,293.02"
"Extreme,Door bell replacement,Ahemdabad,Washing Machine Repair,288.2"
"Fine,Inverter PCB Card Replacement,Haridwar,AC Repair Service,304.37"
"Fine,Lantern Installation,Dehradun,Microwave Repair,116.49"
"Extreme,Bulbs installation (upto 5 bulbs),Rishikesh,Laptop Repair,172.02"
"Fine,Bulb,Dehradun,Refrigerator Repair,131.17"
"Fine,Wash basin blockage removal,Ahemdabad,Refrigerator Repair,243.69"
"Extreme,Geyser Installation,Haridwar,Bathroom cleaning,76.42"
"Extreme,Switchboard installation,Rishikesh,Shave/beard grooming,303.32"
"Extreme,MCB fuse replacement,Dehradun,Face care,489.14"
"Fine,Tubelight Installation/Repair,Delhi,Plumber,498.92"
"Fine,Waste pipe leakage,Delhi,Full home cleaning,449.79"
"Fine,Geyser Uninstallation,Lucknow,Washing Machine Repair,112.23"
"Fine,Fan uninstallation,Lucknow,Laptop Repair,124.85"
"Fine,Material Procurement Charges,Delhi,Laptop Repair,274.55"
"Fine,New wiring with casing (per 5m),Noida,Massage,138.21"
"Extreme,Four Pole MCB Installation,Ahemdabad,Washing Machine Repair,161.76"
"Extreme,Chandelier installation (more than 6 bulbs),Delhi,Kitchen cleaning,296.11"
"Fine,Mini home theater installation,Lucknow,Pest control,251.54"
"Extreme,Four Pole MCB Installation,Jaipur,Chimney Repair,60.33"
"Extreme,Chandelier installation (upto 6 bulbs),Lucknow,Water Purifier Repair,304.74"
"Extreme,New wiring with casing (per 5m),Delhi,Refrigerator Repair,257.38"
"Extreme,Ceiling fan regulator replacement,Haridwar,Carpenter,88.87"
"Fine,3 Phase changeover switch installation,Dehradun,AC Repair Service,485.38"
"Fine,Minor fittings installation,Rishikesh,Refrigerator Repair,342.07"
"Fine,Drainage pipe blockage removal,Noida,Kitchen cleaning,459.69"
"Extreme,PCB Repair,Haridwar,Home painting,219.6"
"Extreme,Decorative Lights Installation (per 15m),Dehradun,Microwave Repair,373.87"
"Fine,Decorative Lights Installation (per 15m),Ahemdabad,Plumber,161.64"
"Fine,Lantern Installation,Jaipur,Water Purifier Repair,72.62"
"Fine,Door bell replacement,Haridwar,Hair colour,419.07"
"Fine,Shower installation (ceiling mounted),Dehradun,Washing Machine Repair,462.05"
"Fine,Chandelier installation (more than 6 bulbs),Delhi,Face care,181.99"
"Extreme,Drainage pipe blockage removal,Ahemdabad,Face care,76.66"
"Extreme,Wash basin installation,Delhi,Refrigerator Repair,489.76"
"Extreme,Cavity sensor,Delhi,Full home cleaning,374.48"
"Fine,Shower installation (ceiling mounted),Noida,Full home cleaning,291.48"
"Fine,Decorative ceiling fan installation,Jaipur,Refrigerator Repair,62.35"
"Extreme,Lantern Installation,Jaipur,Refrigerator Repair,121.5"
"Extreme,Decorative Lights Installation (per 15m),Dehradun,AC Repair Service,328.37"
"Extreme,Fan replacement,Dehradun,Chimney Repair,457.53"
"Extreme,Inverter servicing,Noida,Hair colour,492.98"
"Fine,Fan uninstallation,Noida,Home painting,218.14"
"Fine,Cavity sensor,Delhi,Full home cleaning,447.52"
"Extreme,Fan uninstallation,Rishikesh,Washing Machine Repair,455.16"
"Fine,3 Phase Changeover Switch Installation,Jaipur,Home painting,394.91"
"Extreme,TV installation (above 48 inches),Jaipur,Bathroom cleaning,126.35"
"Fine,Single pole MCB installation,Dehradun,Men/kids haircut,380.44"
"Extreme,Wash Basin Leakage Repair,Dehradun,Chimney Repair,101.77"
"Extreme,TV installation (up to 48 inches),Dehradun,Washing Machine Repair,390.79"
"Extreme,Geyser Installation,Noida,Men/kids haircut,154.15"
"Extreme,Tap repair,Lucknow,Electrician,130.65"
"Fine,Decorative Lights Uninstallation (per 5m),Jaipur,Face care,187.3"
"Extreme,MCB fuse replacement,Noida,Laptop Repair,472.92"
"Extreme,Tap replacement,Noida,Plumber,340.61"
"Extreme,Wash Basin Leakage Repair,Haridwar,Shave/beard grooming,307.33"
"Fine,Minor fittings installation,Lucknow,Carpenter,376.41"
"Fine,Lights Uninstallation (per 20 m),Noida,Massage,301.64"
"Fine,Tap installation,Jaipur,Face care,375.92"
"Fine,Fan uninstallation,Delhi,Full home cleaning,479.58"
"Extreme,Waste pipe leakage,Delhi,Plumber,154.86"
"Fine,Decorative Lights Installation (per 5m),Jaipur,Water Purifier Repair,378.85"
"Extreme,Fuse 5 / 15 Amp,Haridwar,Bathroom cleaning,353.28"
"Extreme,Triple Pole MCB Installation,Lucknow,Washing Machine Repair,256.53"
"Extreme,Inverter servicing,Noida,Shave/beard grooming,144.7"
"Fine,Chandelier installation (more than 6 bulbs),Jaipur,Hair colour,180.34"
"Fine,Cavity sensor,Delhi,Hair colour,235.11"
"Fine,Chandelier installation (upto 6 bulbs),Lucknow,Laptop Repair,119.73"
"Fine,Double battery inverter installation,Dehradun,Washing Machine Repair,434.41"
"Fine,Bulb,Dehradun,Massage,293.95"
"Extreme,New wiring with casing (per 5m),Jaipur,Home painting,292.51"
"Extreme,Switch Membrane / Key Pad Repair,Delhi,Chimney Repair,384.43"
"Fine,PCB Repair,Haridwar,Microwave Repair,410.39"
"Fine,Decorative Lights Uninstallation (per 5m),Dehradun,Refrigerator Repair,386.93"
"Fine,Tubelight Installation/Repair,Noida,AC Repair Service,61.35"
"Extreme,Mini home theater installation,Lucknow,Pest control,452.43"
"Fine,3 Phase changeover switch installation,Noida,Massage,113.95"
"Fine,Replace CFL to LED,Haridwar,Bathroom cleaning,397.07"
"Extreme,Fan repair,Lucknow,Microwave Repair,377.18"
"Extreme,Shower installation (ceiling mounted),Lucknow,Electrician,390.62"
"Extreme,Chandelier installation (upto 6 bulbs),Rishikesh,Pest control,74.99"
"Fine,Mini home theater installation,Rishikesh,Bathroom cleaning,496.84"
"Extreme,Sub meter installation,Lucknow,Men/kids haircut,401.93"
"Fine,Four Pole MCB Installation,Lucknow,AC Repair Service,325.58"
"Fine,Door bell installation,Rishikesh,Full home cleaning,230.55"
"Extreme,Replace CFL to LED,Ahemdabad,Refrigerator Repair,290.17"
"Extreme,Four Pole MCB Installation,Jaipur,Face care,284"
"Fine,Drainage pipe blockage removal,Lucknow,Men/kids haircut,238.44"
"Fine,Inverter PCB Card Replacement,Dehradun,Pest control,274.78"
"Fine,Hot & cold water mixer repair,Noida,Washing Machine Repair,272.79"
"Fine,Hot & cold water mixer installation,Noida,Refrigerator Repair,256.94"
"Extreme,New wiring with casing (per 5m),Jaipur,Chimney Repair,127.09"
"Fine,Single pole MCB installation,Rishikesh,Bathroom cleaning,67.42"
"Fine,Single battery inverter installation,Delhi,Microwave Repair,466.46"
"Extreme,Wash Basin Leakage Repair,Noida,Home painting,301.41"
"Fine,Door bell replacement,Haridwar,Kitchen cleaning,458.75"
"Fine,Chandelier installation (more than 6 bulbs),Lucknow,Plumber,156.44"
"Fine,Decorative ceiling fan installation,Delhi,Face care,391.23"
"Fine,Bulb,Ahemdabad,Carpenter,245.18"
"Fine,Tap installation,Ahemdabad,Full home cleaning,77.5"
"Fine,Triple Pole MCB Installation,Haridwar,Laptop Repair,271.57"
"Extreme,Mini home theater installation,Noida,Full home cleaning,72.31"
"Fine,Tap installation,Lucknow,Chimney Repair,258.46"
"Extreme,Switch/socket replacement,Haridwar,Men/kids haircut,70.88"
"Fine,Hot & cold water mixer installation,Ahemdabad,Men/kids haircut,417.87"
"Extreme,Lantern Installation,Noida,Kitchen cleaning,103.3"
"Fine,Door bell replacement,Rishikesh,Massage,349.86"
"Extreme,Decorative Lights Installation (per 10m),Dehradun,Men/kids haircut,374.51"
"Extreme,Tap replacement,Haridwar,Electrician,95.83"
"Extreme,Hot & cold water mixer repair,Dehradun,Kitchen cleaning,256.04"
"Extreme,TV installation (above 48 inches),Haridwar,Shave/beard grooming,459.45"
"Extreme,Hot & cold water mixer installation,Haridwar,Water Purifier Repair,156.99"
"Fine,Cavity sensor,Dehradun,Plumber,161.17"
"Extreme,Minor fittings installation,Haridwar,Hair colour,182.79"
"Fine,Balcony drain blockage removal,Ahemdabad,Laptop Repair,365.04"
"Extreme,Bulb holder installation,Ahemdabad,Plumber,468.26"
"Extreme,Double battery inverter installation,Ahemdabad,Kitchen cleaning,205.87"
"Extreme,Bulbs installation (upto 5 bulbs),Dehradun,AC Repair Service,63.28"
"Fine,Single pole MCB installation,Delhi,Massage,210.64"
"Fine,Switch/socket replacement,Rishikesh,Face care,412.21"
"Fine,Tubelight Installation/Repair,Ahemdabad,Carpenter,196.3"
"Extreme,Tap repair,Jaipur,Home painting,147.79"
"Fine,AC switchbox installation,Delhi,Men/kids haircut,483.09"
"Extreme,Decorative ceiling fan installation,Noida,Massage,441.33"
"Extreme,Decorative Lights Uninstallation (per 5m),Rishikesh,AC Repair Service,180.44"
"Extreme,Fan replacement,Rishikesh,Electrician,118.38"
"Extreme,Fan Coil Repair,Delhi,Kitchen cleaning,489"
"Extreme,Inverter fuse replacement,Jaipur,Water Purifier Repair,188.73"
"Fine,New wiring with casing (per 5m),Haridwar,Laptop Repair,355.49"
"Fine,Double Pole MCB Installation,Jaipur,Kitchen cleaning,227.05"
"Fine,Triple Pole MCB Installation,Rishikesh,AC Repair Service,156.06"
"Fine,Tap repair,Noida,Washing Machine Repair,194.16"
"Extreme,Hot & cold water mixer installation,Haridwar,Water Purifier Repair,158.33"
"Fine,Shower installation (wall mounted/ hand-held),Lucknow,Refrigerator Repair,142.65"
"Extreme,Timer,Noida,AC Repair Service,197.66"
"Fine,Switchboard repair,Noida,Pest control,458.21"
"Fine,Switch Membrane / Key Pad Repair,Rishikesh,Home painting,172.29"
"Extreme,Sub meter installation,Haridwar,Bathroom cleaning,166.82"
"Extreme,TV installation (up to 48 inches),Lucknow,Bathroom cleaning,136.97"
"Extreme,Shower installation (wall mounted/ hand-held),Ahemdabad,Microwave Repair,95.24"
"Fine,Stabilizer installation,Ahemdabad,Face care,81.86"
"Extreme,Chandelier installation (more than 6 bulbs),Ahemdabad,Face care,123.98"
"Fine,Ceiling Fan Installation,Ahemdabad,Carpenter,304.58"
"Fine,Bulb holder installation,Rishikesh,Full home cleaning,234.83"
"Fine,New internal wiring (per 5m),Delhi,Face care,441.65"
"Fine,Lights Uninstallation (per 20 m),Haridwar,Chimney Repair,417.94"
"Extreme,3 Phase changeover switch installation,Noida,Kitchen cleaning,389.6"
"Fine,Chandelier installation (upto 6 bulbs),Rishikesh,Electrician,419.35"
"Extreme,Tap installation,Jaipur,Bathroom cleaning,377.66"
"Extreme,Inverter fuse replacement,Haridwar,Full home cleaning,146.68"
"Extreme,Bulb,Rishikesh,Pest control,62.4"
"Fine,Fan uninstallation,Rishikesh,Carpenter,119.12"
"Extreme,Bulb,Ahemdabad,Full home cleaning,297.12"
"Fine,Four Pole MCB Installation,Delhi,Face care,315.58"
"Extreme,Tap repair,Lucknow,Water Purifier Repair,406.66"
"Fine,New internal wiring (per 5m),Rishikesh,AC Repair Service,384.89"
"Fine,Four Pole MCB Installation,Dehradun,Massage,467.47"
"Extreme,Decorative light & bed lamp installation,Dehradun,Home painting,294.43"
"Extreme,Tap installation,Dehradun,Laptop Repair,464.5"
"Extreme,Decorative light & bed lamp installation,Noida,Washing Machine Repair,111.19"
"Extreme,Inverter servicing,Rishikesh,Hair colour,306.54"
"Extreme,Wash basin installation,Dehradun,Men/kids haircut,358.11"
"Fine,Switch/socket replacement,Noida,Microwave Repair,317.37"
"Fine,Hot & cold water mixer repair,Lucknow,Full home cleaning,223.65"
"Extreme,Inverter fuse replacement,Lucknow,Electrician,278.03"
"Extreme,Tap replacement,Jaipur,Men/kids haircut,299.58"
"Fine,Decorative Lights Installation (per 15m),Ahemdabad,Pest control,90.99"
"Fine,TV installation (above 48 inches),Ahemdabad,Bathroom cleaning,340.1"
"Fine,New internal wiring (per 5m),Ahemdabad,Hair colour,461.72"
"Fine,Inverter PCB Card Replacement,Jaipur,Home painting,261.93"
"Fine,Bulbs installation (upto 5 bulbs),Lucknow,Bathroom cleaning,395.7"
"Extreme,Timer,Haridwar,Chimney Repair,218.19"
"Fine,Room heater repair,Lucknow,Massage,77.21"
"Fine,Decorative ceiling fan installation,Delhi,Massage,274.05"
"Fine,Timer,Delhi,Refrigerator Repair,104.76"
"Extreme,Double Pole MCB Installation,Ahemdabad,Pest control,409.78"
"Extreme,Wash basin blockage removal,Rishikesh,Home painting,145.92"
"Extreme,Thermal Cut Off (TCO),Delhi,Hair colour,411.42"
"Fine,Inverter fuse replacement,Noida,Plumber,368.14"
"Fine,Fuse 5 / 15 Amp,Ahemdabad,Carpenter,214.18"
"Extreme,Waste pipe leakage,Rishikesh,Refrigerator Repair,372.59"
"Extreme,3 Phase changeover switch installation,Lucknow,Face care,483.23"
"Fine,Double Pole MCB Installation,Jaipur,Hair colour,199.8"
"Extreme,Replace CFL to LED,Lucknow,Hair colour,79.32"
"Extreme,3 Phase changeover switch installation,Ahemdabad,Laptop Repair,436.44"
"Extreme,Inverter servicing,Delhi,Carpenter,119.85"
"Extreme,Door bell replacement,Lucknow,Water Purifier Repair,307.04"
"Extreme,Double Pole MCB Installation,Haridwar,Full home cleaning,77.52"
"Fine,TV uninstallation,Delhi,Massage,366.6"
"Extreme,Chandelier installation (more than 6 bulbs),Lucknow,Massage,354.67"
"Fine,Wash Basin Leakage Repair,Jaipur,Washing Machine Repair,124.9"
"Extreme,Double battery inverter installation,Rishikesh,Men/kids haircut,307.85"
"Fine,Decorative Lights Installation (per 5m),Noida,Men/kids haircut,97.58"
"Extreme,Room heater repair,Rishikesh,Men/kids haircut,454.96"
"Extreme,Chandelier installation (upto 6 bulbs),Ahemdabad,Electrician,272.87"
"Extreme,Switchboard repair,Rishikesh,Microwave Repair,153.92"
"Fine,Inverter fuse replacement,Noida,Carpenter,67.68"
"Fine,Decorative Lights Installation (per 15m),Haridwar,Chimney Repair,263.56"
"Fine,Shower installation (wall mounted/ hand-held),Haridwar,Electrician,216.41"
"Fine,Chandelier installation (upto 6 bulbs),Rishikesh,Home painting,209.62"
"Extreme,Switchboard installation,Lucknow,Electrician,142.11"
"Extreme,Mini home theater installation,Lucknow,Washing Machine Repair,419.86"
"Fine,Geyser Installation,Ahemdabad,Bathroom cleaning,324.55"
"Fine,Balcony drain blockage removal,Delhi,Laptop Repair,124.42"
"Fine,Replace CFL to LED,Rishikesh,Refrigerator Repair,146.99"
"Fine,Wash basin blockage removal,Haridwar,Home painting,443.87"
"Extreme,Switchboard repair,Delhi,Carpenter,393.19"
"Fine,Double battery inverter installation,Ahemdabad,Bathroom cleaning,388.62"
"Fine,Wash Basin Leakage Repair,Lucknow,Full home cleaning,268.87"
"Fine,Triple Pole MCB Installation,Delhi,Home painting,273.37"
"Extreme,Tap repair,Ahemdabad,Water Purifier Repair,413.45"
"Extreme,Minor fittings installation,Delhi,Water Purifier Repair,164.26"
"Fine,Decorative Lights Installation (per 10m),Dehradun,Washing Machine Repair,216"
"Fine,Wash basin installation,Noida,Men/kids haircut,110.22"
"Fine,Fan Coil Repair,Ahemdabad,Refrigerator Repair,292.3"
"Fine,Lantern Installation,Lucknow,Laptop Repair,180.82"
"Extreme,Sub meter installation,Ahemdabad,Pest control,141.03"
"Extreme,Single battery inverter installation,Haridwar,Pest control,73.08"
"Fine,Chandelier installation (upto 6 bulbs),Lucknow,Kitchen cleaning,252.54"
"Extreme,Wash basin blockage removal,Lucknow,Home painting,413.98"
"Fine,Shower installation (wall mounted/ hand-held),Dehradun,Electrician,446.85"
"Fine,Double battery inverter installation,Haridwar,Face care,387.64"
"Extreme,Room heater repair,Rishikesh,Massage,358.07"
"Extreme,Room heater repair,Rishikesh,Kitchen cleaning,476.54"
"Fine,Shower installation (wall mounted/ hand-held),Lucknow,Men/kids haircut,351.77"
"Extreme,Decorative light & bed lamp installation,Dehradun,Water Purifier Repair,83.8"
"Extreme,Switch Membrane / Key Pad Repair,Delhi,AC Repair Service,92.72"
"Fine,Room heater repair,Delhi,Electrician,149.44"
"Extreme,Switch Membrane / Key Pad Repair,Rishikesh,AC Repair Service,482.09"
"Extreme,Stabilizer installation,Jaipur,Hair colour,192.88"
"Extreme,Chandelier installation (more than 6 bulbs),Rishikesh,Microwave Repair,251.22"
"Extreme,Inverter PCB Card Replacement,Dehradun,Water Purifier Repair,492.11"
"Extreme,Waste pipe leakage,Ahemdabad,Refrigerator Repair,207.37"
"Extreme,Lantern Installation,Dehradun,Plumber,253.98"
"Extreme,Inverter servicing,Lucknow,Laptop Repair,350.68"
"Extreme,Fan repair,Noida,Carpenter,247.7"
"Fine,Timer,Delhi,Microwave Repair,272.08"
"Extreme,MCB fuse replacement,Noida,Hair colour,312.25"
"Extreme,Fan repair,Lucknow,Electrician,271.47"
"Fine,New wiring with casing (per 5m),Lucknow,Electrician,193.73"
"Fine,TV installation (above 48 inches),Haridwar,Water Purifier Repair,276.68"
"Fine,Single battery inverter installation,Lucknow,Refrigerator Repair,131.76"
"Fine,Fan repair,Delhi,Kitchen cleaning,405.78"
"Fine,New internal wiring (per 5m),Haridwar,Carpenter,159.42"
"Extreme,Timer,Rishikesh,Carpenter,346.73"
"Extreme,Tap repair,Noida,Home painting,178.24"
"Fine,Tubelight Installation/Repair,Dehradun,Plumber,302.48"
"Extreme,Switch/socket replacement,Ahemdabad,Laptop Repair,320.47"
"Fine,Tap repair,Delhi,Men/kids haircut,175.14"
"Extreme,Switchboard repair,Ahemdabad,Electrician,110.54"
"Fine,3 Phase Changeover Switch Installation,Rishikesh,Face care,60.82"
"Fine,Wash basin blockage removal,Rishikesh,Washing Machine Repair,456.74"
"Extreme,Tap installation,Dehradun,Face care,451.53"
"Extreme,PCB Repair,Ahemdabad,Kitchen cleaning,73.61"
"Fine,Hot & cold water mixer repair,Dehradun,Hair colour,56.54"
"Extreme,Geyser Uninstallation,Dehradun,AC Repair Service,358.34"
"Extreme,Switchboard repair,Ahemdabad,Plumber,340.83"
"Extreme,Fuse 5 / 15 Amp,Noida,Massage,451.39"
"Fine,Wash Basin Leakage Repair,Rishikesh,Massage,499.73"
"Fine,Minor fittings installation,Delhi,Home painting,398.18"
"Extreme,New wiring with casing (per 5m),Rishikesh,Electrician,392.42"
"Extreme,Bulb holder installation,Dehradun,Kitchen cleaning,277.9"
"Extreme,Wash basin installation,Ahemdabad,Washing Machine Repair,79.25"
"Extreme,TV installation (above 48 inches),Noida,Pest control,253.35"
"Extreme,Lantern Installation,Dehradun,Electrician,362.51"
"Extreme,Lantern Installation,Dehradun,Full home cleaning,437.46"
"Fine,Hot & cold water mixer installation,Delhi,Plumber,108.9"
"Extreme,3 Phase changeover switch installation,Dehradun,Refrigerator Repair,391.63"
"Extreme,Fan repair,Lucknow,Bathroom cleaning,456.78"
"Fine,MCB fuse replacement,Jaipur,Carpenter,205.98"
"Extreme,Inverter PCB Card Replacement,Delhi,Men/kids haircut,191.94"
"Fine,Geyser Uninstallation,Haridwar,Full home cleaning,68.46"
"Fine,Decorative Lights Installation (per 10m),Ahemdabad,Men/kids haircut,496.71"
"Extreme,Fan uninstallation,Noida,Water Purifier Repair,281.32"
"Fine,Fuse 5 / 15 Amp,Dehradun,Home painting,155.55"
"Extreme,Lantern Installation,Jaipur,Chimney Repair,270.89"
"Extreme,Tubelight Installation/Repair,Ahemdabad,Water Purifier Repair,404.44"
"Fine,Balcony drain blockage removal,Delhi,Kitchen cleaning,120.48"
"Fine,New wiring with casing (per 5m),Dehradun,Chimney Repair,233.2"
"Extreme,Double Pole MCB Installation,Dehradun,AC Repair Service,307.97"
"Extreme,3 Phase Changeover Switch Installation,Ahemdabad,Pest control,226.33"
"Fine,Lights Uninstallation (per 20 m),Noida,Carpenter,477.67"
"Extreme,Thermal Cut Off (TCO),Rishikesh,Refrigerator Repair,489.55"
"Fine,Minor fittings installation,Delhi,Face care,149.14"
"Fine,New wiring with casing (per 5m),Jaipur,Plumber,116.81"
"Extreme,Single battery inverter installation,Delhi,Kitchen cleaning,338.82"
"Extreme,Decorative Lights Uninstallation (per 5m),Delhi,Men/kids haircut,267.47"
"Fine,Cavity sensor,Ahemdabad,Carpenter,294.29"
"Fine,Balcony drain blockage removal,Haridwar,Face care,51.03"
"Fine,Thermal Cut Off (TCO),Jaipur,Chimney Repair,98.41"
"Extreme,Tubelight Installation/Repair,Noida,Massage,345.31"
"Fine,Shower installation (wall mounted/ hand-held),Haridwar,Pest control,70.37"
"Extreme,AC switchbox installation,Rishikesh,Carpenter,350.27"
"Extreme,TV installation (up to 48 inches),Rishikesh,Microwave Repair,319.33"
"Extreme,Bulb holder installation,Haridwar,Microwave Repair,394.35"
"Extreme,Geyser Uninstallation,Lucknow,Water Purifier Repair,390.89"
"Fine,Material Procurement Charges,Dehradun,Microwave Repair,335.2"
"Fine,Tap replacement,Haridwar,Bathroom cleaning,369.6"
"Extreme,Inverter fuse replacement,Lucknow,Laptop Repair,91.18"
"Extreme,Chandelier installation (more than 6 bulbs),Noida,Plumber,400.59"
"Extreme,Double battery inverter installation,Lucknow,Face care,137.45"
"Fine,Balcony drain blockage removal,Lucknow,Hair colour,438.91"
"Extreme,Wash basin installation,Jaipur,Home painting,317.71"
"Extreme,Switch Membrane / Key Pad Repair,Jaipur,Refrigerator Repair,58.34"
"Fine,Bulb holder installation,Haridwar,Water Purifier Repair,475.41"
"Extreme,Tap repair,Haridwar,Carpenter,320.93"
"Fine,Double Pole MCB Installation,Rishikesh,AC Repair Service,153.98"
"Extreme,Switchboard repair,Lucknow,Home painting,89.92"
"Extreme,New internal wiring (per 5m),Delhi,Plumber,292.49"
"Extreme,Fan replacement,Lucknow,Home painting,258.48"
"Extreme,Fan uninstallation,Dehradun,AC Repair Service,452.09"
"Extreme,Single pole MCB installation,Ahemdabad,Washing Machine Repair,490.34"
"Fine,Shower installation (ceiling mounted),Rishikesh,Microwave Repair,346.71"
"Extreme,Tap installation,Haridwar,Carpenter,109.49"
"Fine,Triple Pole MCB Installation,Ahemdabad,Full home cleaning,242.2"
"Fine,Ceiling Fan Installation,Jaipur,Hair colour,408.56"
"Extreme,Bulb holder installation,Lucknow,Plumber,84.48"
"Extreme,Fan uninstallation,Ahemdabad,Bathroom cleaning,167.96"
"Fine,Decorative Lights Installation (per 10m),Lucknow,Massage,106.2"
"Extreme,Decorative Lights Installation (per 5m),Rishikesh,Laptop Repair,87.18"
"Fine,Inverter fuse replacement,Dehradun,Water Purifier Repair,249.77"
"Fine,Single pole MCB installation,Noida,Refrigerator Repair,258.08"
"Extreme,Single pole MCB installation,Delhi,Carpenter,225.91"
"Extreme,Wash basin blockage removal,Rishikesh,Men/kids haircut,485.22"
"Extreme,Room heater repair,Lucknow,Plumber,108.12"
"Fine,Geyser Uninstallation,Haridwar,Bathroom cleaning,269.03"
"Extreme,Inverter servicing,Delhi,Plumber,148.46"
"Fine,Material Procurement Charges,Lucknow,Electrician,260.66"
"Extreme,Decorative Lights Uninstallation (per 5m),Jaipur,Bathroom cleaning,160.76"
"Extreme,New wiring without casing (per 5m),Delhi,AC Repair Service,177.74"
"Fine,Ceiling Fan Installation,Ahemdabad,Chimney Repair,238.6"
"Fine,Ceiling Fan Installation,Jaipur,Face care,235.69"
"Extreme,Wash basin blockage removal,Noida,Face care,151.75"
"Extreme,Single pole MCB installation,Delhi,Plumber,124.87"
"Extreme,Inverter fuse replacement,Noida,Laptop Repair,499.85"
"Extreme,Single battery inverter installation,Dehradun,Massage,451.07"
"Fine,Fan uninstallation,Lucknow,Bathroom cleaning,242.52"
"Extreme,Double battery inverter installation,Dehradun,Kitchen cleaning,234.2"
"Extreme,Geyser Installation,Ahemdabad,Hair colour,63.74"
"Extreme,Triple Pole MCB Installation,Lucknow,Hair colour,138"
"Extreme,Single battery inverter installation,Delhi,Hair colour,116.89"
"Extreme,Stabilizer installation,Lucknow,Shave/beard grooming,399.05"
"Fine,Single battery inverter installation,Dehradun,Washing Machine Repair,455.89"
"Extreme,Cavity sensor,Dehradun,Full home cleaning,385.02"
"Fine,Minor fittings installation,Delhi,Electrician,166.72"
"Extreme,TV uninstallation,Haridwar,Carpenter,112.89"
"Fine,Wash basin blockage removal,Delhi,Pest control,71.92"
"Fine,Bulb holder installation,Noida,Kitchen cleaning,311.82"
"Fine,Switch Membrane / Key Pad Repair,Lucknow,Home painting,151.48"
"Fine,New internal wiring (per 5m),Ahemdabad,Electrician,110.62"
"Extreme,TV installation (above 48 inches),Rishikesh,Face care,465.84"
"Extreme,Switchboard repair,Jaipur,Kitchen cleaning,239.11"
"Fine,Switchboard repair,Delhi,Washing Machine Repair,107.04"
"Fine,Inverter PCB Card Replacement,Noida,Face care,468.46"
"Fine,Stabilizer installation,Rishikesh,Carpenter,453.87"
"Extreme,Four Pole MCB Installation,Ahemdabad,Shave/beard grooming,428.87"
"Fine,Decorative light & bed lamp installation,Lucknow,Kitchen cleaning,312.57"
