Weather_condition,Service,Price_change_factor
Fine,Kitchen cleaning,-20
Fine,Chimney Repair,-44
Fine,Washing Machine Repair,-39
Fine,Kitchen cleaning,18
Fine,Pest control,-15
Fine,Refrigerator Repair,42
Fine,Plumber,-8
Fine,Electrician,-8
Moderate,Home painting,10
Moderate,Water Purifier Repair,40
Fine,Home painting,-21
Moderate,Massage,27
Fine,Refrigerator Repair,-20
Fine,Full home cleaning,14
Fine,Massage,19
Fine,Washing Machine Repair,28
Extreme,Massage,-37
Fine,AC Repair Service,-29
Fine,AC Repair Service,-28
Fine,Bathroom cleaning,27
Fine,Full home cleaning,-38
Extreme,Carpenter,-25
Moderate,Face care,-48
Fine,Full home cleaning,-19
Fine,Electrician,13
Fine,Refrigerator Repair,23
