Weather,City,Subservice,Service,Price
Fine,Ahemdabad,Minor fittings installation,Kitchen cleaning,474.48
Extreme,Noida,Inverter PCB Card Replacement,Carpenter,293.39
Fine,Delhi,Double battery inverter installation,Washing Machine Repair,229.82
Extreme,Dehradun,Geyser Uninstallation,Water Purifier Repair,474.12
Fine,Rishikesh,Bulb Holder Installation,Massage,196.76
Extreme,Rishikesh,AC switchbox installation,Shave/beard grooming,459.04
Extreme,Jaipur,Triple Pole MCB Installation,Hair colour,451.85
Extreme,Noida,Minor fittings installation,Hair colour,487.63
Fine,Jaipur,PCB Repair,Kitchen cleaning,173.36
Fine,Rishikesh,Waste pipe leakage,Face care,469.79
Fine,Delhi,3 Phase changeover switch installation,Refrigerator Repair,495.33
Extreme,Haridwar,Fan Coil Repair,Men/kids haircut,143.36
Fine,Delhi,TV installation (above 48 inches),Face care,399.78
Fine,Lucknow,Single battery inverter installation,Chimney Repair,358.27
Extreme,Lucknow,Fan uninstallation,Home painting,271.66
Fine,Haridwar,Ceiling Fan Installation,Carpenter,462.23
Fine,Jaipur,Ceiling fan regulator replacement,Home painting,167.2
Fine,Noida,Chandelier installation (upto 6 bulbs),Men/kids haircut,458.88
Extreme,Noida,Decorative Lights Uninstallation (per 5m),Carpenter,457.96
Fine,Ahemdabad,Single pole MCB installation,Washing Machine Repair,346.93
Fine,Ahemdabad,Material Procurement Charges,Shave/beard grooming,465.82
Extreme,Lucknow,Switchboard installation,Carpenter,187.86
Fine,Dehradun,Tubelight Installation/Repair,Face care,445.5
Extreme,Rishikesh,Fan uninstallation,Men/kids haircut,366.94
Fine,Lucknow,Bulb Holder Installation,Plumber,273.78
Fine,Dehradun,Ceiling fan regulator replacement,Face care,456.69
Fine,Dehradun,TV installation (up to 48 inches),Electrician,279.8
Fine,Ahemdabad,Wash basin installation,Face care,347.65
Fine,Haridwar,TV uninstallation,Chimney Repair,375.18
Fine,Haridwar,New wiring with casing (per 5m),Water Purifier Repair,199.44
Extreme,Dehradun,Wash Basin Leakage Repair,Carpenter,420.35
Fine,Noida,Replace CFL to LED,Electrician,244.86
Extreme,Noida,Chandelier installation (upto 6 bulbs),Massage,473.66
Extreme,Noida,Hot & cold water mixer installation,Carpenter,469.0
Fine,Noida,Drainage pipe blockage removal,AC Repair Service,404.79
Fine,Lucknow,Chandelier installation (more than 6 bulbs),Plumber,427.92
Extreme,Lucknow,Inverter PCB Card Replacement,Refrigerator Repair,235.17
Fine,Noida,Cavity sensor,Full home cleaning,454.68
Extreme,Noida,Chandelier installation (more than 6 bulbs),Carpenter,407.4
Fine,Rishikesh,Hot & cold water mixer installation,Shave/beard grooming,454.63
Fine,Dehradun,AC switchbox installation,Pest control,241.85
Fine,Lucknow,Wash Basin Leakage Repair,Plumber,282.81
Extreme,Jaipur,Switchboard installation,Men/kids haircut,474.72
Fine,Lucknow,Double Pole MCB Installation,Washing Machine Repair,472.75
Extreme,Lucknow,Chandelier installation (more than 6 bulbs),Men/kids haircut,469.61
Fine,Dehradun,Fan replacement,Laptop Repair,163.0
Fine,Jaipur,Wash Basin Leakage Repair,Face care,387.59
Fine,Dehradun,New wiring without casing (per 5m),Chimney Repair,486.65
Fine,Haridwar,Tap repair,Home painting,384.12
Fine,Dehradun,Switch Membrane / Key Pad Repair,Home painting,377.24
Fine,Noida,Cavity sensor,Washing Machine Repair,449.95
Extreme,Rishikesh,Waste pipe leakage,Carpenter,467.06
Fine,Delhi,Balcony drain blockage removal,Carpenter,268.33
Fine,Haridwar,Material Procurement Charges,Microwave Repair,395.24
Fine,Noida,Tap replacement,Full home cleaning,473.21
Fine,Dehradun,Chandelier installation (upto 6 bulbs),Washing Machine Repair,357.29
Fine,Delhi,Triple Pole MCB Installation,Home painting,304.66
Extreme,Noida,Decorative light & bed lamp installation,Full home cleaning,459.77
Fine,Dehradun,Switch Membrane / Key Pad Repair,Face care,474.01
Fine,Rishikesh,Cavity sensor,Washing Machine Repair,87.63
Fine,Noida,Single pole MCB installation,Water Purifier Repair,398.07
Extreme,Ahemdabad,Lantern Installation,Refrigerator Repair,429.74
Fine,Jaipur,Chandelier installation (upto 6 bulbs),Laptop Repair,269.39
Fine,Rishikesh,Door bell replacement,Chimney Repair,184.83
Fine,Haridwar,Fuse 5 / 15 Amp,Massage,457.16
Extreme,Lucknow,Four Pole MCB Installation,Chimney Repair,464.51
Fine,Haridwar,Sub meter installation,Pest control,231.08
Extreme,Dehradun,Double battery inverter installation,Men/kids haircut,424.94
Extreme,Lucknow,Minor fittings installation,Carpenter,214.81
Extreme,Haridwar,New wiring without casing (per 5m),Carpenter,468.08
Extreme,Delhi,Switchboard repair,Laptop Repair,373.29
Fine,Jaipur,Mini home theater installation,Washing Machine Repair,494.86
Fine,Ahemdabad,AC switchbox installation,Electrician,368.52
Fine,Rishikesh,Four Pole MCB Installation,Laptop Repair,425.15
Fine,Ahemdabad,Decorative Lights Installation (per 15m),Kitchen cleaning,466.83
Fine,Haridwar,Single pole MCB installation,Plumber,134.37
Fine,Noida,Room heater repair,Laptop Repair,407.74
Fine,Lucknow,Switch/socket replacement,Men/kids haircut,170.79
Extreme,Delhi,Sub meter installation,Home painting,69.71
Fine,Jaipur,Tap installation,Face care,322.66
Fine,Rishikesh,Fan Coil Repair,Men/kids haircut,459.37
Fine,Rishikesh,Fuse 5 / 15 Amp,Chimney Repair,224.05
Fine,Dehradun,Door bell replacement,Laptop Repair,148.34
Extreme,Jaipur,AC switchbox installation,Full home cleaning,164.97
Fine,Jaipur,Wash basin installation,Face care,277.05
Fine,Lucknow,AC switchbox installation,Refrigerator Repair,483.59
Fine,Delhi,Decorative Lights Installation (per 15m),Hair colour,394.9
Fine,Rishikesh,Wash Basin Leakage Repair,Men/kids haircut,264.65
Fine,Haridwar,Shower installation (ceiling mounted),Refrigerator Repair,78.19
Extreme,Delhi,Waste pipe leakage,Kitchen cleaning,431.06
Fine,Noida,Switchboard repair,Carpenter,406.28
Fine,Rishikesh,3 Phase changeover switch installation,Chimney Repair,184.17
Fine,Jaipur,Chandelier installation (upto 6 bulbs),Water Purifier Repair,479.26
Fine,Jaipur,Lights Uninstallation (per 20 m),AC Repair Service,467.46
Extreme,Dehradun,New wiring without casing (per 5m),Carpenter,112.4
Fine,Dehradun,Decorative Lights Uninstallation (per 5m),Washing Machine Repair,85.2
Fine,Jaipur,Decorative Lights Installation (per 15m),Face care,319.75
Extreme,Rishikesh,New wiring without casing (per 5m),Home painting,89.67
Fine,Rishikesh,Four Pole MCB Installation,Home painting,471.9
Extreme,Noida,Single pole MCB installation,Pest control,81.66
Extreme,Noida,Ceiling Fan Installation,Men/kids haircut,179.44
Fine,Delhi,Lantern Installation,Chimney Repair,281.8
Fine,Jaipur,Wash basin installation,Laptop Repair,394.46
Extreme,Lucknow,Decorative Lights Installation (per 15m),Carpenter,172.57
Fine,Haridwar,Door bell installation,Chimney Repair,451.48
Extreme,Dehradun,Minor fittings installation,Washing Machine Repair,456.45
Extreme,Ahemdabad,Inverter PCB Card Replacement,Laptop Repair,454.09
Fine,Rishikesh,Wash Basin Leakage Repair,Home painting,465.55
Extreme,Jaipur,Material Procurement Charges,Chimney Repair,424.82
Extreme,Ahemdabad,Switchboard installation,Chimney Repair,431.85
Fine,Rishikesh,Bulb holder installation,Hair colour,453.43
Fine,Delhi,Timer,Electrician,236.87
Fine,Lucknow,Ceiling fan regulator replacement,Face care,199.11
Fine,Rishikesh,Wash basin installation,Chimney Repair,465.22
Extreme,Noida,Wash basin blockage removal,Water Purifier Repair,471.64
Extreme,Rishikesh,3 Phase changeover switch installation,Shave/beard grooming,473.08
Extreme,Noida,Wash basin blockage removal,Washing Machine Repair,414.59
Extreme,Lucknow,New wiring without casing (per 5m),Washing Machine Repair,313.13
Fine,Jaipur,Decorative light & bed lamp installation,Men/kids haircut,381.58
Extreme,Delhi,Shower installation (wall mounted/ hand-held),Pest control,252.15
Extreme,Noida,Inverter fuse replacement,Carpenter,469.18
Fine,Delhi,Fan repair,Kitchen cleaning,387.37
Fine,Rishikesh,Thermal Cut Off (TCO),Face care,468.38
Extreme,Delhi,Minor fittings installation,Carpenter,225.29
Extreme,Jaipur,New internal wiring (per 5m),Carpenter,83.64
Fine,Rishikesh,Decorative Lights Installation (per 10m),Face care,429.43
Fine,Noida,Decorative Lights Uninstallation (per 5m),Carpenter,376.63
Extreme,Delhi,Double battery inverter installation,Carpenter,169.59
Fine,Rishikesh,Bulb Holder Installation,Water Purifier Repair,150.76
Fine,Dehradun,Geyser Uninstallation,Massage,182.66
Fine,Noida,Bulb,Massage,439.85
Fine,Delhi,Four Pole MCB Installation,Plumber,469.1
Fine,Haridwar,Tap installation,Massage,374.11
Fine,Delhi,Timer,Plumber,411.44
Extreme,Haridwar,Chandelier installation (more than 6 bulbs),Carpenter,307.49
Fine,Rishikesh,Shower installation (wall mounted/ hand-held),Shave/beard grooming,393.95
Fine,Rishikesh,Switch/socket replacement,Chimney Repair,447.52
Extreme,Delhi,Tap repair,Washing Machine Repair,404.4
Fine,Delhi,Waste pipe leakage,Plumber,415.53
Extreme,Haridwar,Chandelier installation (more than 6 bulbs),Pest control,108.63
Fine,Haridwar,Inverter PCB Card Replacement,Pest control,371.06
Fine,Lucknow,Replace CFL to LED,Microwave Repair,274.92
Fine,Rishikesh,Single battery inverter installation,Home painting,416.77
Fine,Lucknow,3 Phase changeover switch installation,Carpenter,96.11
Fine,Jaipur,TV uninstallation,Men/kids haircut,474.25
Fine,Ahemdabad,3 Phase changeover switch installation,Pest control,422.3
Extreme,Ahemdabad,Chandelier installation (upto 6 bulbs),Men/kids haircut,382.12
Extreme,Haridwar,Inverter PCB Card Replacement,Shave/beard grooming,376.61
Fine,Haridwar,Bulb holder installation,Massage,377.31
Fine,Noida,Minor fittings installation,Pest control,429.74
Fine,Delhi,Waste pipe leakage,Shave/beard grooming,143.53
Fine,Haridwar,Drainage pipe blockage removal,Home painting,310.9
Extreme,Rishikesh,Material Procurement Charges,Chimney Repair,482.12
Fine,Rishikesh,Decorative Lights Installation (per 15m),Washing Machine Repair,485.98
Fine,Delhi,Fan repair,Washing Machine Repair,459.33
Fine,Rishikesh,Bulb,Chimney Repair,84.98
Fine,Noida,Shower installation (ceiling mounted),Men/kids haircut,87.01
Fine,Rishikesh,Mini home theater installation,Kitchen cleaning,451.8
Extreme,Ahemdabad,MCB fuse replacement,Shave/beard grooming,367.4
Fine,Ahemdabad,New wiring without casing (per 5m),Pest control,426.96
Extreme,Jaipur,Hot & cold water mixer repair,Home painting,488.5
Fine,Rishikesh,Wash basin blockage removal,Bathroom cleaning,378.24
Fine,Delhi,Timer,Microwave Repair,432.27
Fine,Jaipur,Four Pole MCB Installation,Chimney Repair,98.38
Extreme,Ahemdabad,Switchboard installation,Refrigerator Repair,404.11
Fine,Ahemdabad,New wiring with casing (per 5m),Face care,499.92
Fine,Delhi,Wash basin installation,Chimney Repair,447.28
Extreme,Noida,TV uninstallation,Hair colour,273.22
Fine,Ahemdabad,Tap installation,Shave/beard grooming,390.51
Fine,Jaipur,TV installation (above 48 inches),Laptop Repair,184.64
Extreme,Rishikesh,Tap repair,Carpenter,316.43
Extreme,Noida,Geyser Uninstallation,Pest control,425.06
Fine,Delhi,Decorative Lights Uninstallation (per 5m),Shave/beard grooming,481.41
Extreme,Ahemdabad,New wiring without casing (per 5m),Face care,468.54
Extreme,Noida,Shower installation (wall mounted/ hand-held),Microwave Repair,464.77
Extreme,Rishikesh,Waste pipe leakage,Men/kids haircut,70.27
Fine,Rishikesh,Inverter fuse replacement,Men/kids haircut,300.23
Fine,Ahemdabad,Fan uninstallation,Microwave Repair,107.57
Extreme,Rishikesh,Replace CFL to LED,Carpenter,486.27
Fine,Jaipur,Double battery inverter installation,Laptop Repair,247.11
Extreme,Ahemdabad,Switch/socket replacement,Laptop Repair,457.73
Fine,Delhi,Balcony drain blockage removal,Water Purifier Repair,89.83
Extreme,Noida,Chandelier installation (more than 6 bulbs),Face care,467.72
Fine,Noida,Bulb,AC Repair Service,104.77
Extreme,Haridwar,Inverter servicing,Washing Machine Repair,211.02
Fine,Dehradun,Decorative ceiling fan installation,Carpenter,165.46
Fine,Rishikesh,Lantern Installation,Washing Machine Repair,380.64
Extreme,Haridwar,Chandelier installation (upto 6 bulbs),Face care,372.64
Extreme,Haridwar,3 Phase changeover switch installation,Electrician,456.21
Fine,Haridwar,Single pole MCB installation,Chimney Repair,481.49
Fine,Noida,Bulb,Pest control,76.61
Extreme,Ahemdabad,Ceiling fan regulator replacement,Home painting,412.67
Fine,Noida,Thermal Cut Off (TCO),Full home cleaning,464.63
Fine,Haridwar,Lantern Installation,Refrigerator Repair,374.53
Fine,Dehradun,Double battery inverter installation,Home painting,485.91
Extreme,Jaipur,Balcony drain blockage removal,Chimney Repair,453.87
Fine,Jaipur,Inverter servicing,Electrician,487.36
Fine,Jaipur,Bulb Holder Installation,Carpenter,127.23
Extreme,Haridwar,Hot & cold water mixer installation,Laptop Repair,332.9
Fine,Jaipur,Double Pole MCB Installation,Bathroom cleaning,476.75
Extreme,Rishikesh,Chandelier installation (more than 6 bulbs),Face care,85.25
Fine,Rishikesh,Four Pole MCB Installation,Men/kids haircut,367.14
Fine,Jaipur,Wash basin blockage removal,Pest control,355.53
Fine,Noida,Decorative Lights Uninstallation (per 5m),Face care,363.76
Extreme,Noida,Replace CFL to LED,Washing Machine Repair,460.16
Extreme,Haridwar,Double Pole MCB Installation,Chimney Repair,240.5
Fine,Ahemdabad,Drainage pipe blockage removal,Pest control,471.32
Fine,Rishikesh,Sub meter installation,Carpenter,464.6
Fine,Noida,Thermal Cut Off (TCO),Microwave Repair,463.99
Fine,Delhi,Hot & cold water mixer installation,Bathroom cleaning,398.57
Extreme,Noida,Tap installation,Massage,485.46
Fine,Haridwar,Wash basin installation,Laptop Repair,475.02
Extreme,Delhi,Switchboard installation,Microwave Repair,429.22
Fine,Ahemdabad,Single battery inverter installation,Home painting,274.41
Extreme,Delhi,TV installation (up to 48 inches),Chimney Repair,208.44
Fine,Ahemdabad,Wash basin installation,Microwave Repair,474.89
Extreme,Noida,Inverter PCB Card Replacement,Pest control,130.03
Extreme,Dehradun,Switchboard installation,Refrigerator Repair,212.41
Fine,Noida,Wash basin blockage removal,Chimney Repair,176.28
Extreme,Noida,Switch Membrane / Key Pad Repair,Electrician,463.64
Extreme,Jaipur,Geyser Installation,Microwave Repair,349.76
Fine,Lucknow,Bulb Holder Installation,Plumber,419.06
Extreme,Dehradun,Minor fittings installation,Full home cleaning,279.42
Fine,Ahemdabad,Four Pole MCB Installation,Hair colour,379.11
Fine,Dehradun,Lights Uninstallation (per 20 m),Chimney Repair,367.13
Extreme,Lucknow,Lights Uninstallation (per 20 m),Chimney Repair,137.11
Fine,Noida,Single battery inverter installation,Hair colour,462.49
Fine,Jaipur,Chandelier installation (upto 6 bulbs),Carpenter,469.29
Fine,Ahemdabad,Ceiling Fan Installation,Shave/beard grooming,229.11
Extreme,Rishikesh,Chandelier installation (upto 6 bulbs),Massage,453.79
Fine,Dehradun,3 Phase changeover switch installation,Massage,344.29
Fine,Lucknow,Single battery inverter installation,Full home cleaning,449.55
Fine,Rishikesh,Minor fittings installation,Hair colour,250.52
Fine,Rishikesh,Wash basin installation,Water Purifier Repair,159.75
Fine,Rishikesh,New internal wiring (per 5m),Carpenter,280.95
Extreme,Delhi,New wiring without casing (per 5m),Carpenter,384.02
Extreme,Noida,Chandelier installation (more than 6 bulbs),AC Repair Service,488.75
Fine,Lucknow,Fan Coil Repair,Carpenter,344.35
Extreme,Ahemdabad,New wiring without casing (per 5m),Carpenter,293.36
Extreme,Noida,New wiring without casing (per 5m),Washing Machine Repair,352.44
Fine,Dehradun,Chandelier installation (more than 6 bulbs),Face care,461.15
Fine,Noida,Tap repair,AC Repair Service,82.94
Extreme,Lucknow,New wiring without casing (per 5m),Chimney Repair,467.92
Fine,Haridwar,Replace CFL to LED,Plumber,400.68
Extreme,Delhi,Ceiling fan regulator replacement,Refrigerator Repair,261.07
Extreme,Rishikesh,Minor fittings installation,Home painting,476.47
Fine,Noida,TV installation (above 48 inches),Home painting,480.37
Extreme,Haridwar,Tap replacement,Pest control,404.52
Extreme,Ahemdabad,Material Procurement Charges,Shave/beard grooming,459.68
Fine,Rishikesh,Bulb Holder Installation,Carpenter,426.14
Fine,Noida,Double battery inverter installation,Men/kids haircut,226.29
Extreme,Rishikesh,TV installation (up to 48 inches),Electrician,458.74
Fine,Haridwar,Waste pipe leakage,Face care,490.83
Fine,Lucknow,Single pole MCB installation,Men/kids haircut,231.82
Extreme,Haridwar,Ceiling Fan Installation,Men/kids haircut,472.2
Fine,Jaipur,Mini home theater installation,Face care,190.46
Fine,Dehradun,Decorative Lights Installation (per 10m),Home painting,378.97
Extreme,Haridwar,MCB fuse replacement,Pest control,111.77
Fine,Delhi,Fan repair,Home painting,378.46
Fine,Ahemdabad,Bulb Holder Installation,Men/kids haircut,357.46
Fine,Delhi,Room heater repair,Face care,354.44
Extreme,Ahemdabad,Inverter PCB Card Replacement,Electrician,353.66
Fine,Delhi,TV installation (above 48 inches),Men/kids haircut,237.94
Fine,Noida,Decorative light & bed lamp installation,Water Purifier Repair,385.38
Fine,Lucknow,Fan repair,Chimney Repair,447.31
Fine,Lucknow,Material Procurement Charges,Men/kids haircut,453.82
Extreme,Lucknow,Triple Pole MCB Installation,Carpenter,108.51
Fine,Noida,Switch/socket replacement,Carpenter,230.67
Extreme,Haridwar,Tap replacement,Massage,376.07
Fine,Lucknow,Fan Coil Repair,Kitchen cleaning,243.11
Fine,Rishikesh,TV installation (up to 48 inches),Massage,462.03
Extreme,Noida,Double Pole MCB Installation,Face care,409.29
Fine,Noida,TV installation (above 48 inches),Men/kids haircut,248.43
Extreme,Noida,MCB fuse replacement,Carpenter,477.79
Extreme,Noida,Fan repair,Plumber,476.95
Fine,Lucknow,Lantern Installation,Carpenter,272.78
Fine,Haridwar,Double Pole MCB Installation,Pest control,393.28
Fine,Noida,Chandelier installation (more than 6 bulbs),Carpenter,404.91
Fine,Dehradun,Tubelight Installation/Repair,AC Repair Service,457.37
Fine,Lucknow,Sub meter installation,Men/kids haircut,470.98
Extreme,Lucknow,Tap repair,Kitchen cleaning,269.32
Fine,Lucknow,Lantern Installation,Full home cleaning,84.61
Extreme,Rishikesh,Geyser Installation,Massage,454.82
Fine,Jaipur,Bulb Holder Installation,Washing Machine Repair,87.79
Fine,Noida,Double battery inverter installation,AC Repair Service,94.99
Fine,Delhi,Double battery inverter installation,Home painting,62.25
Fine,Lucknow,Fan repair,Pest control,413.42
Fine,Noida,Wash basin blockage removal,Bathroom cleaning,417.1
Fine,Haridwar,Inverter fuse replacement,Washing Machine Repair,311.66
Extreme,Dehradun,Switchboard installation,Plumber,470.55
Fine,Delhi,New wiring with casing (per 5m),Full home cleaning,229.14
Fine,Jaipur,Lights Uninstallation (per 20 m),Chimney Repair,455.25
Fine,Noida,Ceiling fan regulator replacement,Face care,448.95
Extreme,Lucknow,Wash basin blockage removal,Carpenter,467.29
Extreme,Dehradun,Wash basin installation,Pest control,244.04
Extreme,Ahemdabad,Decorative Lights Installation (per 5m),Plumber,465.48
Fine,Jaipur,Hot & cold water mixer repair,Men/kids haircut,468.6
Fine,Delhi,Single pole MCB installation,Chimney Repair,393.73
Fine,Ahemdabad,Material Procurement Charges,Face care,448.7
Fine,Jaipur,Mini home theater installation,Men/kids haircut,472.02
Extreme,Lucknow,Lights Uninstallation (per 20 m),Men/kids haircut,314.32
Extreme,Dehradun,Door bell installation,Bathroom cleaning,463.48
Fine,Haridwar,Wash Basin Leakage Repair,Chimney Repair,469.84
Fine,Noida,Lantern Installation,Carpenter,354.21
Fine,Rishikesh,Chandelier installation (more than 6 bulbs),Carpenter,263.25
Extreme,Noida,Switchboard installation,Water Purifier Repair,461.46
Extreme,Noida,3 Phase changeover switch installation,AC Repair Service,92.9
Fine,Haridwar,Switchboard installation,Refrigerator Repair,446.57
Fine,Rishikesh,Switch/socket replacement,Chimney Repair,460.62
Extreme,Lucknow,Thermal Cut Off (TCO),Men/kids haircut,276.85
Extreme,Dehradun,Chandelier installation (more than 6 bulbs),Carpenter,437.65
Fine,Delhi,3 Phase changeover switch installation,Face care,408.73
Fine,Lucknow,Chandelier installation (upto 6 bulbs),Hair colour,477.55
Fine,Jaipur,Fan repair,Chimney Repair,309.29
Extreme,Noida,Double Pole MCB Installation,Washing Machine Repair,85.02
Fine,Jaipur,3 Phase Changeover Switch Installation,Hair colour,385.84
Extreme,Haridwar,Tap installation,Face care,485.07
Extreme,Lucknow,New wiring without casing (per 5m),Carpenter,454.91
Extreme,Delhi,Fan repair,Pest control,478.02
Extreme,Noida,Tap repair,Water Purifier Repair,205.4
Fine,Lucknow,Drainage pipe blockage removal,Men/kids haircut,462.33
Fine,Delhi,Door bell replacement,Home painting,406.55
Fine,Delhi,Drainage pipe blockage removal,Face care,393.15
Fine,Noida,New wiring with casing (per 5m),Pest control,244.93
Extreme,Delhi,AC switchbox installation,Home painting,336.55
Fine,Lucknow,Minor fittings installation,Kitchen cleaning,472.55
Extreme,Haridwar,Geyser Uninstallation,Face care,394.57
Fine,Noida,Thermal Cut Off (TCO),Chimney Repair,373.5
Extreme,Lucknow,Fuse 5 / 15 Amp,Face care,459.28
Fine,Jaipur,MCB fuse replacement,Washing Machine Repair,103.2
Fine,Noida,Lantern Installation,Men/kids haircut,313.11
Extreme,Jaipur,Waste pipe leakage,Bathroom cleaning,276.78
Extreme,Dehradun,Fan Coil Repair,Refrigerator Repair,250.59
Fine,Delhi,Double battery inverter installation,Face care,387.49
Fine,Lucknow,Replace CFL to LED,Kitchen cleaning,478.15
Fine,Lucknow,Wash Basin Leakage Repair,Washing Machine Repair,99.37
Fine,Ahemdabad,Fan repair,Washing Machine Repair,290.05
Extreme,Lucknow,Wash Basin Leakage Repair,Carpenter,453.83
Fine,Haridwar,Lantern Installation,Pest control,400.77
Fine,Rishikesh,TV installation (up to 48 inches),Home painting,75.95
Extreme,Noida,Lantern Installation,Men/kids haircut,96.26
Fine,Noida,Wash basin blockage removal,AC Repair Service,176.48
Extreme,Haridwar,TV uninstallation,Carpenter,290.03
Extreme,Delhi,Triple Pole MCB Installation,Washing Machine Repair,282.81
Fine,Haridwar,Geyser Installation,Bathroom cleaning,475.31
Extreme,Jaipur,Room heater repair,Home painting,164.27
Fine,Lucknow,Waste pipe leakage,Massage,343.06
Fine,Haridwar,Chandelier installation (upto 6 bulbs),Hair colour,369.86
Extreme,Delhi,Fan uninstallation,Water Purifier Repair,322.92
Extreme,Noida,3 Phase Changeover Switch Installation,Carpenter,341.52
Fine,Haridwar,Balcony drain blockage removal,Plumber,371.31
Extreme,Noida,Drainage pipe blockage removal,Refrigerator Repair,454.49
Fine,Rishikesh,Door bell installation,Water Purifier Repair,79.05
Fine,Ahemdabad,Thermal Cut Off (TCO),Carpenter,482.21
Fine,Ahemdabad,Switchboard installation,Chimney Repair,283.27
Fine,Lucknow,Hot & cold water mixer repair,Full home cleaning,167.76
Extreme,Lucknow,Timer,Washing Machine Repair,408.12
Extreme,Lucknow,Sub meter installation,Chimney Repair,362.04
Fine,Haridwar,Double battery inverter installation,Carpenter,291.4
Fine,Delhi,Geyser Uninstallation,Men/kids haircut,456.49
Fine,Rishikesh,Wash Basin Leakage Repair,Home painting,499.79
Fine,Noida,PCB Repair,Pest control,347.44
Fine,Jaipur,Single pole MCB installation,Refrigerator Repair,135.53
Extreme,Dehradun,Wash basin blockage removal,Carpenter,280.1
Fine,Noida,TV uninstallation,Massage,363.75
Fine,Delhi,Ceiling Fan Installation,Shave/beard grooming,470.83
Fine,Delhi,Balcony drain blockage removal,Chimney Repair,379.46
Extreme,Rishikesh,Decorative light & bed lamp installation,Home painting,95.45
Fine,Ahemdabad,Tap installation,AC Repair Service,268.39
Fine,Dehradun,Switchboard installation,Carpenter,102.4
Fine,Lucknow,New wiring with casing (per 5m),Refrigerator Repair,460.51
Fine,Noida,New internal wiring (per 5m),Face care,241.2
Fine,Delhi,Geyser Uninstallation,Chimney Repair,158.13
Extreme,Dehradun,Wash Basin Leakage Repair,Carpenter,153.57
Fine,Dehradun,Inverter fuse replacement,AC Repair Service,201.39
Fine,Lucknow,Tap replacement,Home painting,198.97
Fine,Delhi,3 Phase changeover switch installation,Water Purifier Repair,473.52
Fine,Lucknow,Triple Pole MCB Installation,Carpenter,463.74
Fine,Lucknow,Tap replacement,Carpenter,483.77
Extreme,Noida,Single pole MCB installation,Massage,260.21
Fine,Delhi,Stabilizer installation,Hair colour,414.58
Fine,Jaipur,Mini home theater installation,Refrigerator Repair,107.02
Fine,Rishikesh,Stabilizer installation,Carpenter,275.68
Extreme,Lucknow,Fan replacement,Chimney Repair,444.09
Fine,Rishikesh,Switch Membrane / Key Pad Repair,Washing Machine Repair,462.69
Fine,Lucknow,TV installation (above 48 inches),Full home cleaning,264.48
Extreme,Noida,3 Phase changeover switch installation,Massage,470.72
Fine,Jaipur,Ceiling fan regulator replacement,Chimney Repair,306.4
Extreme,Noida,Bulb holder installation,Carpenter,400.42
Extreme,Noida,New wiring without casing (per 5m),Refrigerator Repair,368.39
Extreme,Noida,New wiring with casing (per 5m),Chimney Repair,279.33
Fine,Lucknow,Inverter servicing,Washing Machine Repair,136.51
Extreme,Rishikesh,Fuse 5 / 15 Amp,Chimney Repair,338.6
Fine,Dehradun,New wiring without casing (per 5m),Carpenter,158.69
Fine,Rishikesh,Drainage pipe blockage removal,Men/kids haircut,353.72
Extreme,Lucknow,Balcony drain blockage removal,Shave/beard grooming,83.81
Fine,Delhi,Chandelier installation (upto 6 bulbs),Washing Machine Repair,362.45
Fine,Jaipur,Bulb holder installation,Chimney Repair,358.17
Extreme,Jaipur,Switchboard repair,Water Purifier Repair,452.22
Fine,Rishikesh,Single pole MCB installation,Refrigerator Repair,375.54
Fine,Haridwar,Wash Basin Leakage Repair,Washing Machine Repair,388.62
Fine,Noida,New wiring without casing (per 5m),Washing Machine Repair,455.33
Fine,Jaipur,Double battery inverter installation,Massage,81.16
Fine,Rishikesh,Fan Coil Repair,Massage,436.92
Fine,Rishikesh,Geyser Installation,Shave/beard grooming,151.48
Fine,Ahemdabad,Stabilizer installation,Chimney Repair,352.23
Fine,Lucknow,Stabilizer installation,Plumber,422.47
Fine,Ahemdabad,Decorative Lights Installation (per 15m),Washing Machine Repair,485.35
Extreme,Lucknow,Chandelier installation (upto 6 bulbs),Home painting,482.72
Extreme,Noida,Shower installation (wall mounted/ hand-held),Shave/beard grooming,348.45
Extreme,Haridwar,Decorative ceiling fan installation,Carpenter,465.65
Extreme,Ahemdabad,Switchboard repair,Massage,161.17
Extreme,Jaipur,Chandelier installation (more than 6 bulbs),Washing Machine Repair,400.9
Extreme,Rishikesh,Inverter fuse replacement,Full home cleaning,473.95
Extreme,Delhi,Hot & cold water mixer repair,Chimney Repair,345.54
Extreme,Dehradun,New wiring without casing (per 5m),Carpenter,394.0
Fine,Dehradun,Lights Uninstallation (per 20 m),Shave/beard grooming,227.97
Extreme,Jaipur,Hot & cold water mixer repair,Bathroom cleaning,379.58
Fine,Lucknow,Chandelier installation (more than 6 bulbs),Face care,172.54
Fine,Ahemdabad,Ceiling fan regulator replacement,Face care,134.58
Fine,Ahemdabad,TV installation (up to 48 inches),Home painting,461.98
Extreme,Noida,Bulb Holder Installation,Carpenter,394.67
Fine,Haridwar,Wash basin blockage removal,Chimney Repair,243.2
Fine,Haridwar,Inverter PCB Card Replacement,Carpenter,469.35
Fine,Delhi,Timer,Face care,466.87
Fine,Jaipur,Four Pole MCB Installation,Massage,412.98
Fine,Noida,Double Pole MCB Installation,Washing Machine Repair,416.18
